,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
63,АйДи Коллект выпуск 4,RU000A106XT3,35,1002.7,Средний,11.74,1000.0,12,140.88,34.24,14.05,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
64,Энергоника 001Р-04,RU000A106R79,58,986.2,Средний,34.63,1000.0,4,138.52,502.14,14.05,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
65,СибАвтоТранс выпуск 1,RU000A105SZ2,39,1029.4,Низкий,38.98,1000.0,4,155.92,380.05,15.15,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
66,Легенда выпуск 4,RU000A102Y66,17,938.3,Средний,21.58,1000.0,4,86.32,91.71,9.2,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
67,КОНТРОЛ лизинг выпуск 1,RU000A106T85,57,999.7,Средний,11.57,1000.0,12,138.84,54.96,13.89,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
68,МФК Лайм-Займ выпуск 1,RU000A104AX8,14,701.54,Низкий,25.4,700.0,4,101.6,88.9,14.48,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
69,ЭкономЛизинг 001Р-05,RU000A106R12,34,978.4,Низкий,33.58,1000.0,4,134.32,285.43,13.73,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
70,Т.Г. Шевченко выпуск 3,RU000A104Z89,21,798.9,Средний,0.0,1000.0,4,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
71,Айди Коллект выпуск 2,RU000A104JV3,15,1002.5,Низкий,11.74,1000.0,12,140.88,14.68,14.05,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
72,МФК Саммит 1P-01,RU000A105UZ8,27,1039.9,Низкий,13.92,1000.0,12,167.04,31.32,16.06,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
73,Солид-Лизинг БО-001-07,RU000A105P07,25,917.225,Низкий,9.83,950.0,12,117.96,20.48,12.86,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
74,ПЗ Пушкинское выпуск 1,RU000A104JF6,28,970.1,Средний,29.58,1000.0,4,118.32,207.06,12.2,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
75,МФК ЦФП выпуск 1,RU000A102T55,4,990.9,Низкий,9.57,1000.0,12,114.84,3.19,11.59,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
76,РСХБ выпуск T1,RU000A0ZZ4T1,54,762.1,Средний,38.98,1000.0,2,77.96,1052.46,10.23,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
77,Боржоми выпуск 1,RU000A102SK1,4,966.9,28.02.2024,32.19,1000.0,2,64.38,64.38,6.66,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
78,Талан-Финанс выпуск 3,RU000A1043B8,19,963.5,Низкий,28.19,1000.0,4,112.76,133.9,11.7,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
79,КЛС-Трейд БО-02,RU000A105QL6,14,1019.0,Низкий,38.98,1000.0,4,155.92,136.43,15.3,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
80,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,20,1000.8,Низкий,38.98,1000.0,4,155.92,194.9,15.58,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/
81,ЭконЛиз1Р4,RU000A1067T9,31,952.5,Средний,29.58,1000.0,4,118.32,229.24,12.42,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
82,Лизинг-Трейд 001P-06,RU000A105RF6,50,961.9,Низкий,10.35,1000.0,12,124.2,43.12,12.91,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
83,СОБИЛИЗ1Р2,RU000A106AK0,31,950.212,Низкий,9.57,970.0,12,114.84,24.72,12.09,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
84,СмартФ1Р01,RU000A106CM2,31,990.0,Низкий,34.1,1000.0,4,136.4,264.28,13.78,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
85,МФК Займер выпуск 3,RU000A103QJ5,10,657.5953,Низкий,6.0,667.0,12,72.0,5.0,10.95,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
86,Хайтэк-Интеграция 1P-01,RU000A106151,29,977.6,Низкий,32.19,1000.0,4,128.76,233.38,13.17,https://www.tinkoff.ru/invest/bonds/RU000A106151/
87,МФК Займер выпуск 2,RU000A103CW8,8,741.47385,Низкий,6.79,750.1,12,81.48,4.53,10.99,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
88,re:Store выпуск 1,RU000A103935,8,947.2,Средний,17.49,1000.0,4,69.96,34.98,7.39,https://www.tinkoff.ru/invest/bonds/RU000A103935/
89,Реаторг 001Р-01,RU000A105BP9,24,998.5,Низкий,34.63,1000.0,4,138.52,207.78,13.87,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
90,ТЕХНО Лизинг выпуск 5,RU000A103TS0,46,882.5,Средний,8.18,1000.0,12,98.16,31.36,11.12,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
91,Энергоника 001Р-03,RU000A105492,46,884.61,Средний,30.45,900.0,4,121.8,350.18,13.77,https://www.tinkoff.ru/invest/bonds/RU000A105492/
92,Истринская Сыроварня выпуск 2,RU000A106SL0,6,999.3,Средний,10.35,1000.0,12,124.2,5.17,12.43,https://www.tinkoff.ru/invest/bonds/RU000A106SL0/
93,Пионер-Лизинг,RU000A104V00,102,999.3,Низкий,10.7,1000.0,12,128.4,90.95,12.85,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
94,Лизинг-Трейд выпуск 2,RU000A1029F8,11,975.0,Средний,7.66,1000.0,12,91.92,7.02,9.43,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
95,РКС2Р3,RU000A106DV1,32,983.5,Средний,33.06,1000.0,4,132.24,264.48,13.45,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
96,Роял Капитал выпуск 9,RU000A106JC8,32,978.5,Средний,32.19,1000.0,4,128.76,257.52,13.16,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
97,Бизнес Альянс 1Р-01,RU000A105YQ9,29,975.3,Низкий,32.19,1000.0,4,128.76,233.38,13.2,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
98,Электроаппарат БО-01,RU000A104WZ7,8,1000.0,Низкий,34.63,1000.0,4,138.52,69.26,13.85,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
99,СПМК БО-01,RU000A105BW5,24,1029.4,Низкий,38.98,1000.0,4,155.92,233.88,15.15,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
100,ТЕХНО Лизинг выпуск 4,RU000A1032X5,30,903.0,Средний,7.66,1000.0,12,91.92,19.15,10.18,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
101,Патриот Групп выпуск 1,RU000A105AX5,24,1001.5,Средний,34.63,1000.0,4,138.52,207.78,13.83,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/
102,МаксимаТелеком выпуск 2,RU000A102DK3,7,963.2,Средний,42.28,1000.0,2,84.56,147.98,8.78,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
103,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,44,980.0,Низкий,10.53,1000.0,12,126.36,38.61,12.89,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
104,Сибстекло БО-П03,RU000A105C93,14,1003.3,23.10.2023,12.09,1000.0,12,145.08,14.11,14.46,https://www.tinkoff.ru/invest/bonds/RU000A105C93/
105,МФК ЦФП выпуск 2,RU000A103GL2,9,975.5,Низкий,9.22,1000.0,12,110.64,6.92,11.34,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
106,Лизинг-Трейд 1P-08,RU000A106987,54,967.8,Низкий,10.35,1000.0,12,124.2,46.57,12.83,https://www.tinkoff.ru/invest/bonds/RU000A106987/
107,ЭР-Телеком Холдинг БО-02 выпуск 1,RU000A103WR6,11,998.1,Высокий,20.53,1000.0,4,82.12,56.46,8.23,https://www.tinkoff.ru/invest/bonds/RU000A103WR6/
108,Роял Капитал БО-П08,RU000A1056Q8,23,1004.1,Средний,34.63,1000.0,4,138.52,199.12,13.8,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/
109,Агротек выпуск 1,RU000A105QZ6,30,1009.5,Средний,36.8,1000.0,4,147.2,276.0,14.58,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/
110,ГТЛК 001P-20,RU000A1038M5,8,950.6,17.06.2024,16.96,1000.0,4,67.84,33.92,7.14,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/
111,Литана выпуск 1,RU000A1032S5,6,972.0,Низкий,28.19,1000.0,4,112.76,42.29,11.6,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
112,КарМани выпуск 2,RU000A1058U6,23,836.24,Низкий,10.79,800.0,12,129.48,20.68,15.48,https://www.tinkoff.ru/invest/bonds/RU000A1058U6/
113,Соби-Лизинг 001P-01,RU000A105CL6,24,763.8,Низкий,8.61,760.0,12,103.32,17.22,13.53,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/
114,Азбука Вкуса выпуск 2,RU000A105WR1,112,931.4,Средний,22.18,1000.0,4,88.72,621.04,9.53,https://www.tinkoff.ru/invest/bonds/RU000A105WR1/
115,Лизинг-Трейд выпуск 9,RU000A106GB6,55,959.9,Средний,10.0,1000.0,12,120.0,45.83,12.5,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
116,СИБАВТО1Р2,RU000A106CB5,55,967.7,Низкий,31.41,1000.0,4,125.64,431.89,12.98,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
117,Мосгорломбард выпуск 3,RU000A106FW4,44,1011.3,Низкий,34.63,1000.0,4,138.52,380.93,13.7,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/
118,МФК Займер выпуск 1,RU000A102TL7,4,990.9,Низкий,9.05,1000.0,12,108.6,3.02,10.96,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
119,Лизинг-Трейд 1P-07,RU000A105WZ4,52,977.9,Низкий,10.35,1000.0,12,124.2,44.85,12.7,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
120,Джи-групп выпуск 2,RU000A103JR3,2,603.84,21.12.2023,13.75,600.0,4,55.0,6.88,9.11,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
121,Джи-групп 2Р-03,RU000A106Z38,35,999.4,Средний,33.32,1000.0,4,133.28,291.55,13.34,https://www.tinkoff.ru/invest/bonds/RU000A106Z38/
122,Интерлизинг выпуск 6,RU000A106SF2,34,964.3,Высокий,29.23,1000.0,4,116.92,248.46,12.12,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/
123,ГТЛК 002P выпуск 1,RU000A102VR0,11,935.4,19.09.2024,16.96,1000.0,4,67.84,46.64,7.25,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/
124,РСХБ 09Т1,RU000A0ZZ505,54,788.1,Средний,38.98,1000.0,2,77.96,1052.46,9.89,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
125,Агротек БО-02,RU000A1065Y3,45,990.2,Низкий,32.19,1000.0,4,128.76,362.14,13.0,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/
126,А Девелопмент,RU000A104FX7,15,971.5,Низкий,30.02,1000.0,4,120.08,112.58,12.36,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
127,Быстроденьги выпуск 2,RU000A102ZT7,5,987.1,Низкий,9.05,1000.0,12,108.6,3.77,11.0,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
128,Мосрегионлифт БО-02,RU000A106DJ6,9,1000.0,Средний,10.88,1000.0,12,130.56,8.16,13.06,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/
129,КИФА выпуск 1,RU000A106EV9,32,986.0,Средний,31.41,1000.0,4,125.64,251.28,12.74,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
