,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
201,НК Продкорпорация выпуск 1,RU000A102BF7,912.6,Низкий,26.0,2024-03-26,38.98,1000.0,2.0,77.96,506.74,8.54,https://www.tinkoff.ru/invest/bonds/RU000A102BF7/
202,Азбука Вкуса выпуск 1,RU000A100HE1,978.7,Средний,64.0,2024-03-22,23.84,1000.0,4.0,95.36,381.44,9.74,https://www.tinkoff.ru/invest/bonds/RU000A100HE1/
203,Эталон-Финанс выпуск 3,RU000A103QH9,905.3,Высокий,31.0,2024-03-19,19.66,1000.0,4.0,78.64,137.62,8.69,https://www.tinkoff.ru/invest/bonds/RU000A103QH9/
204,ПР-Лизинг выпуск 3,RU000A100Q35,965.2,Средний,29.0,2024-01-19,7.83,1000.0,12.0,93.96,15.66,9.73,https://www.tinkoff.ru/invest/bonds/RU000A100Q35/
205,Первое коллекторское бюро 001Р выпуск 2,RU000A103RJ3,670.81,Средний,20.0,2024-03-22,16.27,700.0,4.0,65.08,81.35,9.7,https://www.tinkoff.ru/invest/bonds/RU000A103RJ3/
206,Автодом выпуск 1,RU000A104CJ3,970.0,Средний,11.0,2024-03-27,26.54,1000.0,4.0,106.16,53.08,10.94,https://www.tinkoff.ru/invest/bonds/RU000A104CJ3/
207,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,963.0,Средний,89.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A103C53/
208,Энергоника 001Р-03,RU000A105492,886.41,Средний,43.0,2024-02-20,30.45,900.0,4.0,121.8,304.5,13.74,https://www.tinkoff.ru/invest/bonds/RU000A105492/
209,Сэтл Групп выпуск 3,RU000A1030X9,982.6,Высокий,3.0,2024-01-17,18.36,1000.0,4.0,73.44,0.0,7.47,https://www.tinkoff.ru/invest/bonds/RU000A1030X9/
210,ЛК РОДЕЛЕН 001P-03,RU000A105M59,995.6,Средний,46.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105M59/
211,Джи-групп выпуск 2,RU000A103JR3,442.98,Средний,6.0,2024-02-12,10.27,450.0,4.0,41.08,10.27,9.27,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
212,ЭнергоТехСервис выпуск 4,RU000A103828,568.0402,Высокий,16.0,2024-03-07,12.79,598.0,4.0,51.16,51.16,9.01,https://www.tinkoff.ru/invest/bonds/RU000A103828/
213,Аэрофьюэлз 002Р-02,RU000A107AW3,1007.0,Средний,34.0,2024-03-01,34.63,1000.0,4.0,138.52,277.04,13.76,https://www.tinkoff.ru/invest/bonds/RU000A107AW3/
