,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
73,ГазТрансСнаб 001Р-01,RU000A1075D6,1032.7,Средний,57.0,43.33,1000.0,4.0,173.32,606.62,16.78,https://www.tinkoff.ru/invest/bonds/RU000A1075D6/
74,ГЛОРАКС 01,RU000A1053W3,936.6,Средний,19.0,29.58,1000.0,4.0,118.32,118.32,12.63,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
75,АСВ выпуск 1,RU000A106RB3,968.3,Низкий,31.0,36.8,1000.0,4.0,147.2,257.6,15.2,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
76,Талан-Финанс выпуск 3,RU000A1043B8,954.7,Средний,16.0,28.19,1000.0,4.0,112.76,112.76,11.81,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
77,ТЕХНО Лизинг выпуск 3,RU000A102234,930.0,Средний,19.0,8.87,1000.0,12.0,106.44,8.87,11.45,https://www.tinkoff.ru/invest/bonds/RU000A102234/
78,Селлер выпуск 2,RU000A106X30,995.0,Низкий,32.0,12.79,1000.0,12.0,153.48,25.58,15.43,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
79,МФК Саммит 1P-01,RU000A105UZ8,1011.2,Низкий,25.0,13.92,1000.0,12.0,167.04,27.84,16.52,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
80,УК ОРГ выпуск 2,RU000A106L67,967.0,Низкий,30.0,11.74,1000.0,12.0,140.88,23.48,14.57,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
81,Электроаппарат БО-01,RU000A104WZ7,988.8,Низкий,29.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
82,Плаза-Телеком БО-01,RU000A106YD5,991.8,Низкий,32.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/
83,ТЕХНО Лизинг выпуск 4,RU000A1032X5,871.7,Средний,27.0,7.66,1000.0,12.0,91.92,15.32,10.54,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
84,Мосрегионлифт БО-02,RU000A106DJ6,985.3,Низкий,40.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/
85,Пионер-Лизинг,RU000A104V00,1000.5,Низкий,99.0,11.92,1000.0,12.0,143.04,95.36,14.3,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
86,МФК ВЭББАНКИР 1P-02,RU000A105575,909.4,Низкий,25.0,11.4,1000.0,12.0,136.8,22.8,15.04,https://www.tinkoff.ru/invest/bonds/RU000A105575/
87,Хайтэк-Интеграция 1P-01,RU000A106151,945.1,Средний,26.0,32.19,1000.0,4.0,128.76,193.14,13.62,https://www.tinkoff.ru/invest/bonds/RU000A106151/
88,А Девелопмент,RU000A104FX7,953.6,Низкий,12.0,30.02,1000.0,4.0,120.08,90.06,12.59,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
89,Завод КЭС выпуск 4,RU000A106QS9,899.0,Низкий,55.0,31.41,1000.0,4.0,125.64,408.33,13.98,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
90,АйДи Коллект выпуск 6,RU000A107C34,1002.9,Средний,34.0,12.79,1000.0,12.0,153.48,25.58,15.3,https://www.tinkoff.ru/invest/bonds/RU000A107C34/
91,МигКредит об01,RU000A103DA2,276.248,Низкий,5.0,2.44,280.0,12.0,29.28,0.0,10.6,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
92,СмартФ1Р01,RU000A106CM2,955.5,Низкий,29.0,34.1,1000.0,4.0,136.4,238.7,14.28,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
93,ИЛС БО-01-001P,RU000A107BH2,1024.0,Средний,34.0,13.57,1000.0,12.0,162.84,27.14,15.9,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/
94,МФК Займер выпуск 3,RU000A103QJ5,491.74125,Низкий,8.0,4.52,500.5,12.0,54.24,0.0,11.03,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
95,УК ОРГ выпуск 3,RU000A106UB7,974.2,Низкий,31.0,11.74,1000.0,12.0,140.88,23.48,14.46,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
96,МФК Займер выпуск 2,RU000A103CW8,493.49732,Низкий,5.0,4.52,500.2,12.0,54.24,0.0,10.99,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
97,АйДи Коллект выпуск 4,RU000A106XT3,974.9,Низкий,32.0,11.74,1000.0,12.0,140.88,23.48,14.45,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
98,Лизинг-Трейд 1P-07,RU000A105WZ4,921.0,Низкий,49.0,10.35,1000.0,12.0,124.2,41.4,13.49,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
99,Глоракс 1P-01,RU000A105XF4,968.9,Средний,14.0,32.19,1000.0,4.0,128.76,96.57,13.29,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
100,Лизинг трейд выпуск 3,RU000A1034X1,892.0,Средний,28.0,7.83,1000.0,12.0,93.96,15.66,10.53,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
101,Соби-Лизинг 001Р-03,RU000A1078H1,998.5,Низкий,34.0,12.44,1000.0,12.0,149.28,24.88,14.95,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/
102,КИФА выпуск 1,RU000A106EV9,950.8,Средний,29.0,31.41,1000.0,4.0,125.64,219.87,13.21,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
103,Нафтатранс Плюс выпуск 3,RU000A102V51,914.5,Низкий,25.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
104,Роял Капитал БО-П10,RU000A1079H9,1006.9,Средний,34.0,43.33,1000.0,4.0,173.32,346.64,17.21,https://www.tinkoff.ru/invest/bonds/RU000A1079H9/
105,Реаторг 001Р-01,RU000A105BP9,983.0,Низкий,21.0,34.63,1000.0,4.0,138.52,173.15,14.09,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
106,Феррони БО-01,RU000A1053R3,1032.0,Низкий,19.0,14.27,1000.0,12.0,171.24,14.27,16.59,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
107,Неолизинг выпуск 1,RU000A106PY9,993.5,Средний,30.0,12.09,1000.0,12.0,145.08,24.18,14.6,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
108,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,822.9525,Средний,37.0,7.83,895.0,12.0,93.96,23.49,11.42,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/
109,ПЗ Пушкинское выпуск 1,RU000A104JF6,959.0,Средний,25.0,29.58,1000.0,4.0,118.32,177.48,12.34,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
110,БЭЛТИ-ГРАНД БО-П05,RU000A105427,815.575,Низкий,27.0,8.44,850.0,12.0,101.28,16.88,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105427/
111,Быстроденьги 2P-03,RU000A1070G0,973.5,Низкий,38.0,14.96,1000.0,12.0,179.52,44.88,18.44,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/
112,Легенда выпуск 4,RU000A102Y66,945.4,Средний,15.0,21.58,1000.0,4.0,86.32,64.74,9.13,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
113,ЭконЛиз1Р4,RU000A1067T9,928.7,Низкий,28.0,29.58,1000.0,4.0,118.32,207.06,12.74,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
114,ЭкономЛизинг 001Р-05,RU000A106R12,953.8,Низкий,31.0,33.58,1000.0,4.0,134.32,235.06,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
115,Мани Капитал 001P-02,RU000A1079G1,1008.9,Средний,34.0,15.66,1000.0,12.0,187.92,31.32,18.63,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/
116,МаксимаТелеком выпуск 2,RU000A102DK3,968.8,Средний,4.0,42.28,1000.0,2.0,84.56,84.56,8.73,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
117,Альфа Дон Транс выпуск 1,RU000A106Y70,1007.1,Низкий,44.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
118,ЭкономЛизинг 001Р-06,RU000A1078Y6,982.1,Низкий,34.0,43.33,1000.0,4.0,173.32,346.64,17.65,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/
119,МФК Займер выпуск 1,RU000A102TL7,993.8,Низкий,1.0,9.05,1000.0,12.0,108.6,0.0,10.93,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
120,МаксимаТелеком выпуск 1,RU000A101XD8,921.4,Средний,30.0,41.15,1000.0,2.0,82.3,617.25,8.93,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
121,Мани Капитал 001P-01,RU000A1074F4,984.1,Низкий,33.0,14.96,1000.0,12.0,179.52,29.92,18.24,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/
122,МК Лизинг БО-01,RU000A107720,1005.1,Низкий,34.0,12.96,1000.0,12.0,155.52,25.92,15.47,https://www.tinkoff.ru/invest/bonds/RU000A107720/
123,Лизинг-Трейд выпуск 9,RU000A106GB6,912.6,Средний,53.0,10.0,1000.0,12.0,120.0,40.0,13.15,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
124,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,988.4,Низкий,32.0,11.74,1000.0,12.0,140.88,23.48,14.25,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
125,СПМК БО-01,RU000A105BW5,1005.5,Низкий,21.0,38.98,1000.0,4.0,155.92,194.9,15.51,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
126,СибАвтоТранс выпуск 1,RU000A105SZ2,1009.3,Низкий,37.0,38.98,1000.0,4.0,155.92,350.82,15.45,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
127,Лизинг-Трейд 001P-06,RU000A105RF6,936.7,Низкий,47.0,10.35,1000.0,12.0,124.2,31.05,13.26,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
128,Россети Ленэнерго 001P-01,RU000A107EC7,1000.0,Средний,47.0,9.4,1000.0,12.0,112.8,28.2,11.28,https://www.tinkoff.ru/invest/bonds/RU000A107EC7/
129,Солид-Лизинг БО-001-07,RU000A105P07,868.41,Низкий,23.0,9.31,900.0,12.0,111.72,9.31,12.86,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
130,Лизинг-Трейд 1P-08,RU000A106987,932.3,Низкий,51.0,10.35,1000.0,12.0,124.2,41.4,13.32,https://www.tinkoff.ru/invest/bonds/RU000A106987/
131,РСХБ выпуск T1,RU000A0ZZ4T1,742.4,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
132,РСХБ 09Т1,RU000A0ZZ505,743.5,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
133,ПИМ выпуск 1,RU000A103WD6,982.3,Низкий,9.0,28.19,1000.0,4.0,112.76,56.38,11.48,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
