,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
0,Ferroni выпуск 1,RU000A103XP8,873.3,Низкий,20.0,2024-01-16,9.22,1000.0,12.0,110.64,9.22,12.67,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,0.0
1,Роснано выпуск 8,RU000A1008V9,863.8,Средний,50.0,2024-04-01,58.2,1000.0,2.0,116.4,1455.0,13.48,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,39.0
2,Газпром капитал ЗО24-2-Е,RU000A105GZ7,95773.6370647,Высокий,0.0,2024-01-24,2482.28,96751.7,1.0,2482.28,0.0,2.59,https://www.tinkoff.ru/invest/bonds/RU000A105GZ7/,2790.0
3,Руссойл БО-01,RU000A1074E7,995.0,Низкий,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/,0.0
4,Сегежа 002P выпуск 3,RU000A104FG2,992.5,Средний,155.0,2024-01-24,23.58,1000.0,4.0,94.32,896.04,9.5,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/,24.0
5,СПМК БО-02,RU000A106FN3,959.4,Низкий,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/,0.0
6,ВТБ СУБ выпуск 1,RU000A102QJ7,7270923.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,0.0
7,Alfa Bank,RU000A100GW5,8200000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,0.0
8,ВТБ СУБ выпуск 5,RU000A1034P7,6105000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,0.0
9,Сегежа Групп 003P-02R,RU000A105SP3,834.7,Средний,167.0,2024-02-02,22.97,1000.0,4.0,91.88,941.77,11.01,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,21.0
10,М.Видео выпуск 4,RU000A106540,865.9,Низкий,27.0,2024-01-19,28.27,1000.0,4.0,113.08,169.62,13.06,https://www.tinkoff.ru/invest/bonds/RU000A106540/,31.0
11,М.Видео выпуск 3,RU000A104ZK2,834.7,Низкий,18.0,2024-01-23,26.71,1000.0,4.0,106.84,106.84,12.8,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/,28.0
12,Сегежа 002P выпуск 5,RU000A1053P7,764.4,Средний,162.0,2024-02-15,46.11,1000.0,2.0,92.22,3734.91,12.06,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/,44.0
13,Россети Ленэнерго 001P-01,RU000A107EC7,999.8,Высокий,46.0,2024-01-17,9.4,1000.0,12.0,112.8,28.2,11.28,https://www.tinkoff.ru/invest/bonds/RU000A107EC7/,10.0
14,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,988.1,Низкий,0.0,2024-02-15,21.14,1000.0,4.0,84.56,0.0,8.56,https://www.tinkoff.ru/invest/bonds/RU000A102S23/,16.0
15,Сегежа 002P выпуск 1,RU000A1041B2,898.9,Средний,153.0,2024-05-15,42.72,1000.0,2.0,85.44,3246.72,9.5,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/,16.0
16,Боржоми выпуск 1,RU000A102SK1,984.0,Средний,25.0,2024-02-23,32.19,1000.0,2.0,64.38,386.28,6.54,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/,30.0
17,М.Видео выпуск 1,RU000A103117,971.0,Низкий,3.0,2024-04-18,47.68,1000.0,2.0,95.36,47.68,9.82,https://www.tinkoff.ru/invest/bonds/RU000A103117/,26.0
18,М.Видео выпуск 2,RU000A103HT3,928.7,Низкий,6.0,2024-02-07,17.49,1000.0,4.0,69.96,17.49,7.53,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/,15.0
19,МФК Эйрлоанс выпуск 1,RU000A1043L7,934.0,Низкий,15.0,2024-02-11,9.4,1000.0,12.0,112.8,9.4,12.08,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/,1.0
20,Роснано БО-002P выпуск 4,RU000A101KK0,974.0,Низкий,2.0,2024-03-26,14.79,1000.0,4.0,59.16,0.0,6.07,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/,4.0
21,МФК ЦФП выпуск 2,RU000A103GL2,964.6,Низкий,6.0,2024-01-20,9.22,1000.0,12.0,110.64,0.0,11.47,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/,9.0
22,МФК ЦФП выпуск 1,RU000A102T55,992.4,Низкий,0.0,2024-01-16,9.57,1000.0,12.0,114.84,0.0,11.57,https://www.tinkoff.ru/invest/bonds/RU000A102T55/,0.0
23,Кировский завод выпуск 2,RU000A102UZ5,983.0,Средний,25.0,2024-03-14,20.53,1000.0,4.0,82.12,123.18,8.35,https://www.tinkoff.ru/invest/bonds/RU000A102UZ5/,8.0
24,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,990.1,Низкий,17.0,2024-03-21,38.98,1000.0,4.0,155.92,155.92,15.75,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/,12.0
25,РКК выпуск 3,RU000A106GZ5,926.5,Низкий,53.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/,0.0
26,Пионер-Лизинг-БО-П03,RU000A1013N6,1065.1,Низкий,68.0,2024-02-03,14.96,1000.0,12.0,179.52,74.8,16.85,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/,6.0
27,Литана выпуск 1,RU000A1032S5,980.0,Низкий,3.0,2024-01-31,28.19,1000.0,4.0,112.76,0.0,11.51,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/,27.0
28,АПРИ Флай Плэнинг БО-П5,RU000A103N19,920.5,Низкий,19.0,2024-03-05,28.19,1000.0,4.0,112.76,112.76,12.25,https://www.tinkoff.ru/invest/bonds/RU000A103N19/,15.0
29,Быстроденьги 002P-04,RU000A107GU4,1017.3,Низкий,40.0,2024-01-25,15.66,1000.0,12.0,187.92,46.98,18.47,https://www.tinkoff.ru/invest/bonds/RU000A107GU4/,12.0
30,Пионер-Лизинг,RU000A104V00,1000.0,Низкий,98.0,2024-01-28,12.88,1000.0,12.0,154.56,103.04,15.46,https://www.tinkoff.ru/invest/bonds/RU000A104V00/,8.0
31,МФК Займер выпуск 1,RU000A102TL7,994.1,Низкий,1.0,2024-01-18,9.05,1000.0,12.0,108.6,0.0,10.92,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/,9.0
32,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,981.7,Низкий,39.0,2024-01-25,38.98,1000.0,4.0,155.92,350.82,15.88,https://www.tinkoff.ru/invest/bonds/RU000A106631/,40.0
33,МигКредит БО-03,RU000A106UK8,984.4,Низкий,31.0,2024-02-04,11.92,1000.0,12.0,143.04,23.84,14.53,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/,5.0
34,Пионер-Лизинг-БО-П04,RU000A102LF6,1000.0,Низкий,82.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/,0.0
35,Эфферон выпуск 1,RU000A105H98,909.9,Низкий,46.0,2024-02-22,29.23,1000.0,4.0,116.92,321.53,12.85,https://www.tinkoff.ru/invest/bonds/RU000A105H98/,20.0
36,НИКА обб01,RU000A1050X7,965.9,Низкий,18.0,2024-01-30,32.19,1000.0,4.0,128.76,128.76,13.33,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/,31.0
37,Фордевинд2,RU000A106DK4,946.9,Низкий,28.0,2024-02-10,11.4,1000.0,12.0,136.8,22.8,14.45,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/,2.0
38,Пионер-Лизинг-БО-П02,RU000A1006C3,1105.7,Низкий,60.0,2024-01-18,15.14,1000.0,12.0,181.68,75.7,16.43,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/,16.0
39,МФК Мани Мен выпуск 3,RU000A103PS8,960.6,Средний,7.0,2024-02-03,8.7,1000.0,12.0,104.4,0.0,10.87,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/,4.0
40,Фордевинд 04,RU000A106SE5,958.9,Низкий,36.0,2024-01-25,12.09,1000.0,12.0,145.08,36.27,15.13,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/,9.0
41,Фордевинд 03,RU000A106Q47,937.9,Низкий,36.0,2024-02-06,11.4,1000.0,12.0,136.8,34.2,14.59,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/,4.0
42,МФК Лайм-Займ 1Р-02,RU000A106CJ8,869.49,Низкий,28.0,2024-02-03,10.61,900.0,12.0,127.32,21.22,14.64,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/,4.0
43,Феррони БО-02,RU000A105P64,979.2,Низкий,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105P64/,0.0
44,Смартфакт БО-02-001P,RU000A107EP9,1000.3,Низкий,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107EP9/,0.0
45,МФК ВЭББАНКИР выпуск 1,RU000A103F43,971.2,Низкий,11.0,2024-02-07,9.05,1000.0,12.0,108.6,0.0,11.18,https://www.tinkoff.ru/invest/bonds/RU000A103F43/,2.0
46,Транс-Миссия БО-02,RU000A107FG5,1013.6,Низкий,46.0,2024-01-20,14.44,1000.0,12.0,173.28,43.32,17.1,https://www.tinkoff.ru/invest/bonds/RU000A107FG5/,14.0
47,МигКредит БО-02,RU000A106KT0,951.0,Низкий,29.0,2024-02-14,10.53,1000.0,12.0,126.36,21.06,13.29,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/,0.0
48,Онлайн Микрофинанс выпуск 1,RU000A103406,980.0,Средний,3.0,2024-02-04,8.87,1000.0,12.0,106.44,0.0,10.86,https://www.tinkoff.ru/invest/bonds/RU000A103406/,3.0
49,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,925.9,Низкий,41.0,2024-01-22,10.53,1000.0,12.0,126.36,31.59,13.65,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/,9.0
50,МФК Лайм-Займ 001Р-03,RU000A107795,998.6,Низкий,33.0,2024-02-13,14.27,1000.0,12.0,171.24,28.54,17.15,https://www.tinkoff.ru/invest/bonds/RU000A107795/,1.0
51,AzurDrive выпуск 1,RU000A106TJ2,948.3,Низкий,42.0,2024-01-28,11.4,1000.0,12.0,136.8,34.2,14.43,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/,7.0
52,Джой Мани 001P-01,RU000A107EW5,1028.4,Низкий,34.0,2024-01-19,15.66,1000.0,12.0,187.92,31.32,18.27,https://www.tinkoff.ru/invest/bonds/RU000A107EW5/,17.0
53,МФК Фордевинд,RU000A105849,809.12,Низкий,19.0,2024-02-13,11.31,800.0,12.0,135.72,11.31,16.77,https://www.tinkoff.ru/invest/bonds/RU000A105849/,0.0
54,АПРИ Флай Плэнинг,RU000A105DS9,1016.7,Средний,33.0,2024-02-06,45.5,1000.0,4.0,182.0,364.0,17.9,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/,40.0
55,РКК выпуск 1,RU000A105VP7,1005.6,Низкий,25.0,2024-02-20,41.15,1000.0,4.0,164.6,246.9,16.37,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/,29.0
56,А Девелопмент,RU000A104FX7,950.6,Низкий,12.0,2024-01-25,30.02,1000.0,4.0,120.08,90.06,12.63,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/,31.0
57,МФК Лайм-Займ выпуск 2,RU000A105AJ4,816.08,Низкий,20.0,2024-02-05,11.4,800.0,12.0,136.8,11.4,16.76,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/,4.0
58,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,963.0,Низкий,37.0,2024-01-24,14.27,1000.0,12.0,171.24,42.81,17.78,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/,12.0
59,Ника 001P-02,RU000A106U74,961.8,Средний,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U74/,0.0
60,Соби-Лизинг 001Р-04,RU000A107EE3,1009.7,Низкий,34.0,2024-01-18,13.57,1000.0,12.0,162.84,27.14,16.13,https://www.tinkoff.ru/invest/bonds/RU000A107EE3/,14.0
61,АПРИ Флай Плэнинг БО-002Р-04,RU000A107FZ5,1046.5,Средний,47.0,2024-03-22,52.03,1000.0,4.0,208.12,572.33,19.89,https://www.tinkoff.ru/invest/bonds/RU000A107FZ5/,16.0
62,ТЕХНО Лизинг выпуск 4,RU000A1032X5,874.2,Средний,27.0,2024-01-27,7.66,1000.0,12.0,91.92,15.32,10.51,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/,5.0
63,АСВ выпуск 1,RU000A106RB3,973.8,Низкий,30.0,2024-02-16,36.8,1000.0,4.0,147.2,257.6,15.12,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/,28.0
64,ХК Финанс выпуск 8,RU000A104XU6,989.2,Средний,17.0,2024-04-05,28.19,1000.0,4.0,112.76,112.76,11.4,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/,3.0
65,АйДи Коллект выпуск 6,RU000A107C34,1000.6,Низкий,34.0,2024-02-05,12.79,1000.0,12.0,153.48,25.58,15.34,https://www.tinkoff.ru/invest/bonds/RU000A107C34/,4.0
66,Электроаппарат БО-01,RU000A104WZ7,989.1,Низкий,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/,0.0
67,ГазТрансСнаб 001Р-01,RU000A1075D6,1040.5,Низкий,57.0,2024-01-30,43.33,1000.0,4.0,173.32,606.62,16.66,https://www.tinkoff.ru/invest/bonds/RU000A1075D6/,42.0
68,Селлер выпуск 2,RU000A106X30,1002.0,Низкий,31.0,2024-01-17,12.79,1000.0,12.0,153.48,25.58,15.32,https://www.tinkoff.ru/invest/bonds/RU000A106X30/,14.0
69,Славянск ЭКО выпуск 1,RU000A103WB0,951.1,Средний,32.0,2024-01-16,23.84,1000.0,4.0,95.36,190.72,10.03,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/,0.0
70,АСПЭК-Домстрой выпуск 1,RU000A104B53,982.0,Низкий,11.0,2024-03-21,31.41,1000.0,4.0,125.64,62.82,12.79,https://www.tinkoff.ru/invest/bonds/RU000A104B53/,10.0
71,Селлер выпуск 1,RU000A106KY0,1001.4,Низкий,17.0,2024-02-14,12.79,1000.0,12.0,153.48,12.79,15.33,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/,0.0
72,МФК Лайм-Займ выпуск 1,RU000A104AX8,593.64,Низкий,11.0,2024-03-20,21.75,600.0,4.0,87.0,43.5,14.66,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/,7.0
73,РКК выпуск 2,RU000A105ZW4,997.4,Средний,38.0,2024-03-21,38.98,1000.0,4.0,155.92,350.82,15.63,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/,12.0
74,ПИМ выпуск 2,RU000A106NT4,937.0,Низкий,30.0,2024-02-01,31.41,1000.0,4.0,125.64,219.87,13.41,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/,29.0
75,Быстроденьги выпуск 2,RU000A102ZT7,990.3,Низкий,2.0,2024-01-28,9.05,1000.0,12.0,108.6,0.0,10.97,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/,6.0
76,СЕЛЛ-Сервис БО-01,RU000A107GT6,1020.2,Низкий,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107GT6/,0.0
77,Соби-Лизинг 001Р-03,RU000A1078H1,997.7,Низкий,33.0,2024-01-20,12.44,1000.0,12.0,149.28,24.88,14.96,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/,12.0
78,МаксимаТелеком выпуск 2,RU000A102DK3,972.0,Средний,4.0,2024-05-21,42.28,1000.0,2.0,84.56,84.56,8.7,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/,15.0
79,Быстроденьги 2P-02,RU000A106B51,964.8,Низкий,33.0,2024-01-26,11.4,1000.0,12.0,136.8,22.8,14.18,https://www.tinkoff.ru/invest/bonds/RU000A106B51/,8.0
80,Легенда выпуск 4,RU000A102Y66,948.4,Средний,14.0,2024-04-09,21.58,1000.0,4.0,86.32,64.74,9.1,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/,1.0
81,МФК Саммит 1P-01,RU000A105UZ8,1018.6,Низкий,24.0,2024-02-11,13.92,1000.0,12.0,167.04,27.84,16.4,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/,2.0
82,УК ОРГ выпуск 3,RU000A106UB7,978.1,Низкий,31.0,2024-02-04,11.74,1000.0,12.0,140.88,23.48,14.4,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/,5.0
83,Айди Коллект выпуск 2,RU000A104JV3,990.0,Низкий,12.0,2024-02-06,11.74,1000.0,12.0,140.88,11.74,14.23,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/,4.0
84,Трейдберри БО-01,RU000A106VN0,1005.0,Средний,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/,0.0
85,МФК Займер выпуск 2,RU000A103CW8,495.04794,Низкий,5.0,2024-01-24,4.52,500.2,12.0,54.24,0.0,10.96,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/,3.0
86,Айди Коллект выпуск 3,RU000A1065M8,955.3,Низкий,26.0,2024-01-21,10.7,1000.0,12.0,128.4,21.4,13.44,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/,10.0
87,ИЛС БО-01-001P,RU000A107BH2,1034.9,Низкий,34.0,2024-02-03,13.57,1000.0,12.0,162.84,27.14,15.73,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/,6.0
88,Фармфорвард БО-01,RU000A107BD1,1024.7,Низкий,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BD1/,0.0
89,Плаза-Телеком БО-01,RU000A106YD5,997.0,Низкий,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/,0.0
90,ТЕХНО Лизинг выпуск 5,RU000A103TS0,855.6,Низкий,43.0,2024-01-22,8.18,1000.0,12.0,98.16,24.54,11.47,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/,7.0
91,Талан-Финанс выпуск 3,RU000A1043B8,964.1,Средний,16.0,2024-02-19,28.19,1000.0,4.0,112.76,112.76,11.7,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/,20.0
92,НЗРМ БО-01,RU000A104EP6,999.0,Средний,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104EP6/,0.0
93,СибАвтоТранс выпуск 1,RU000A105SZ2,1008.5,Низкий,36.0,2024-02-01,38.98,1000.0,4.0,155.92,350.82,15.46,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/,37.0
94,АйДи Коллект выпуск 4,RU000A106XT3,983.6,Низкий,31.0,2024-01-23,11.74,1000.0,12.0,140.88,23.48,14.32,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/,10.0
95,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,828.5015,Средний,36.0,2024-01-30,7.83,895.0,12.0,93.96,23.49,11.34,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/,4.0
96,Завод КЭС выпуск 4,RU000A106QS9,916.6,Низкий,54.0,2024-03-15,31.41,1000.0,4.0,125.64,408.33,13.71,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/,12.0
97,Альфа Дон Транс выпуск 1,RU000A106Y70,1012.2,Средний,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/,0.0
98,Сибстекло БО-П03,RU000A105C93,999.0,Низкий,20.0,2024-01-21,12.09,1000.0,12.0,145.08,12.09,14.52,https://www.tinkoff.ru/invest/bonds/RU000A105C93/,11.0
99,УК ОРГ выпуск 2,RU000A106L67,987.5,Низкий,29.0,2024-01-20,11.74,1000.0,12.0,140.88,23.48,14.27,https://www.tinkoff.ru/invest/bonds/RU000A106L67/,11.0
100,Роял Капитал,RU000A104UF3,971.7,Низкий,16.0,2024-02-27,32.19,1000.0,4.0,128.76,128.76,13.25,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/,20.0
101,МФК ВЭББАНКИР 1P-02,RU000A105575,925.0,Низкий,24.0,2024-01-23,11.4,1000.0,12.0,136.8,22.8,14.79,https://www.tinkoff.ru/invest/bonds/RU000A105575/,10.0
102,АйДи Коллект выпуск 1,RU000A103HG0,970.0,Низкий,6.0,2024-01-27,8.53,1000.0,12.0,102.36,0.0,10.55,https://www.tinkoff.ru/invest/bonds/RU000A103HG0/,6.0
103,СОБИЛИЗ1Р2,RU000A106AK0,855.272,Низкий,27.0,2024-01-25,8.96,880.0,12.0,107.52,17.92,12.57,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/,7.0
104,Неолизинг выпуск 1,RU000A106PY9,999.8,Средний,30.0,2024-02-05,12.09,1000.0,12.0,145.08,24.18,14.51,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/,4.0
105,Бизнес Альянс 1Р-01,RU000A105YQ9,957.2,Низкий,25.0,2024-03-14,32.19,1000.0,4.0,128.76,193.14,13.45,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/,13.0
106,Роял Капитал БО-П10,RU000A1079H9,1018.9,Низкий,34.0,2024-02-27,43.33,1000.0,4.0,173.32,346.64,17.01,https://www.tinkoff.ru/invest/bonds/RU000A1079H9/,26.0
107,Быстроденьги 2P-03,RU000A1070G0,984.5,Низкий,38.0,2024-02-08,14.96,1000.0,12.0,179.52,44.88,18.23,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/,4.0
108,Нафтатранс Плюс выпуск 3,RU000A102V51,928.5,Низкий,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102V51/,0.0
109,Мани Капитал 001P-02,RU000A1079G1,1016.7,Низкий,33.0,2024-01-27,15.66,1000.0,12.0,187.92,31.32,18.48,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/,11.0
110,ГЛОРАКС 01,RU000A1053W3,956.0,Средний,19.0,2024-02-19,29.58,1000.0,4.0,118.32,118.32,12.38,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/,21.0
111,МФК Займер выпуск 3,RU000A103QJ5,438.7255,Низкий,7.0,2024-02-08,4.0,445.0,12.0,48.0,0.0,10.94,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/,1.0
112,Лизинг трейд выпуск 3,RU000A1034X1,907.7,Средний,27.0,2024-02-10,7.83,1000.0,12.0,93.96,15.66,10.35,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/,1.0
113,Унител БО-П01,RU000A107F07,1000.8,Средний,35.0,2024-03-20,41.15,1000.0,4.0,164.6,329.2,16.45,https://www.tinkoff.ru/invest/bonds/RU000A107F07/,14.0
114,Солид-Лизинг выпуск 1,RU000A104CF1,681.1,Средний,35.0,2024-03-26,22.01,700.0,4.0,88.04,176.08,12.93,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/,5.0
115,Мани Капитал 001P-01,RU000A1074F4,993.0,Низкий,32.0,2024-01-22,14.96,1000.0,12.0,179.52,29.92,18.08,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/,13.0
116,Ренессанс Кредит выпуск 6,RU000A102RN7,991.0,Средний,25.0,2024-02-17,35.67,1000.0,2.0,71.34,428.04,7.2,https://www.tinkoff.ru/invest/bonds/RU000A102RN7/,33.0
117,РСХБ выпуск T1,RU000A0ZZ4T1,754.3,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/,0.0
118,КИФА выпуск 1,RU000A106EV9,963.9,Средний,29.0,2024-03-25,31.41,1000.0,4.0,125.64,219.87,13.03,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/,8.0
119,Сибстекло БО-П04,RU000A107209,1002.5,Низкий,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107209/,0.0
120,ТрансФин-М 001Р-07,RU000A103M36,958.8,Средний,91.0,2024-02-26,21.23,1000.0,4.0,84.92,467.06,8.86,https://www.tinkoff.ru/invest/bonds/RU000A103M36/,13.0
121,ПИМ выпуск 1,RU000A103WD6,986.0,Низкий,9.0,2024-01-17,28.19,1000.0,4.0,112.76,56.38,11.44,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/,32.0
122,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1003.2,Низкий,43.0,2024-03-19,45.5,1000.0,4.0,182.0,455.0,18.14,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/,16.0
123,Саммит 001P-02,RU000A107AZ6,1009.8,Низкий,33.0,2024-01-30,14.96,1000.0,12.0,179.52,29.92,17.78,https://www.tinkoff.ru/invest/bonds/RU000A107AZ6/,9.0
124,Сбербанк 002СУБ-02R,RU000A102HC1,8000000.0,Средний,85.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/,0.0
125,Вита Лайн 001Р выпуск 3,RU000A1036X6,974.5,Средний,16.0,2024-02-29,21.66,1000.0,4.0,86.64,86.64,8.89,https://www.tinkoff.ru/invest/bonds/RU000A1036X6/,12.0
126,СмартФ1Р01,RU000A106CM2,977.0,Низкий,28.0,2024-03-07,34.1,1000.0,4.0,136.4,238.7,13.96,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/,17.0
127,ЭкономЛизинг 001Р-06,RU000A1078Y6,997.3,Низкий,34.0,2024-02-22,43.33,1000.0,4.0,173.32,346.64,17.38,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/,29.0
128,Роял Капитал выпуск 9,RU000A106JC8,962.0,Низкий,29.0,2024-04-10,32.19,1000.0,4.0,128.76,225.33,13.38,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/,2.0
129,ХКФ Банк выпуск 7,RU000A102RF3,993.0,Средний,24.0,2024-02-09,14.79,1000.0,4.0,59.16,88.74,5.96,https://www.tinkoff.ru/invest/bonds/RU000A102RF3/,12.0
130,ТЕХНО Лизинг 001Р-06,RU000A107FN1,1011.4,Средний,58.0,2024-01-20,12.09,1000.0,12.0,145.08,48.36,14.34,https://www.tinkoff.ru/invest/bonds/RU000A107FN1/,12.0
131,Хайтэк-Интеграция 1P-01,RU000A106151,967.7,Средний,26.0,2024-03-28,32.19,1000.0,4.0,128.76,193.14,13.31,https://www.tinkoff.ru/invest/bonds/RU000A106151/,7.0
132,Маныч-Агро,RU000A103K20,929.2,Средний,24.0,2024-02-15,26.01,1000.0,4.0,104.04,156.06,11.2,https://www.tinkoff.ru/invest/bonds/RU000A103K20/,20.0
133,МК Лизинг БО-01,RU000A107720,1017.7,Низкий,33.0,2024-02-15,12.96,1000.0,12.0,155.52,25.92,15.28,https://www.tinkoff.ru/invest/bonds/RU000A107720/,0.0
134,ЭкономЛизинг выпуск 3,RU000A1030U5,987.3,Средний,3.0,2024-01-18,24.88,1000.0,4.0,99.52,0.0,10.08,https://www.tinkoff.ru/invest/bonds/RU000A1030U5/,28.0
