,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
0,Металлоинвест 001Р-06,RU000A1079S6,1001.8,Высокий,46.0,2024-02-27 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1079S6/,22.0
0,РЕСО-Лизинг БО-02П-02,RU000A105HH3,1001.0,Высокий,105.0,2024-05-27 00:00:00,56.29,1000.0,2.0,112.58,2927.08,11.25,https://www.tinkoff.ru/invest/bonds/RU000A105HH3/,24.0
0,Совкомбанк СЗО-02,RU000A107C59,80112.3516,Средний,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107C59/,
0,ОФЗ 29023,SU29023RMFS7,991.7,Высокий,127.0,2024-03-06 00:00:00,28.8,1000.0,4.0,115.2,892.8,11.62,https://www.tinkoff.ru/invest/bonds/SU29023RMFS7/,17.0
0,МТС 002P-02,RU000A1078S8,998.4,Средний,57.0,2024-02-21 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1078S8/,24.0
0,ВЭБ.РФ выпуск 4,RU000A106LL5,1019.9,Высокий,103.0,2024-03-06 00:00:00,32.19,1000.0,4.0,128.76,804.75,12.62,https://www.tinkoff.ru/invest/bonds/RU000A106LL5/,19.0
0,ДОМ.РФ ИА 002P,RU000A0ZYJT2,72.751564,Средний,267.0,2024-01-28 00:00:00,1.83,74.51,4.0,7.32,120.78,10.06,https://www.tinkoff.ru/invest/bonds/RU000A0ZYJT2/,1.0
0,ВЭБ.РФ ПБО-002Р-36,RU000A105YH8,1015.0,Высокий,80.0,2024-03-27 00:00:00,24.36,1000.0,4.0,97.44,487.2,9.6,https://www.tinkoff.ru/invest/bonds/RU000A105YH8/,9.0
0,Биннофарм Групп 001P-03,RU000A107E81,1003.8,Высокий,34.0,2024-03-18 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107E81/,14.0
0,ВсеИнструменты.ру 001P-01,RU000A107GJ7,999.5,Средний,34.0,2024-01-24 00:00:00,0.0,1000.0,12.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107GJ7/,11.0
0,Газпром Нефть 003P-08R,RU000A107HG1,1011.0,Средний,34.0,2024-01-27 00:00:00,0.0,1000.0,12.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107HG1/,9.0
0,Борец Капитал 001P-02,RU000A107BR1,1013.5,Высокий,22.0,2024-02-04 00:00:00,0.0,1000.0,12.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BR1/,5.0
0,Совкомбанк СЗО-01,RU000A107B84,74471.878,Средний,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107B84/,
0,ОФЗ 24021,SU24021RMFS6,1000.88,Высокий,3.0,2024-01-24 00:00:00,24.1,1000.0,4.0,96.4,0.0,9.63,https://www.tinkoff.ru/invest/bonds/SU24021RMFS6/,33.0
0,ДОМ.РФ ИА 001Р-25,RU000A105H23,648.980696,Средний,105.0,2024-01-28 00:00:00,4.96,727.72,12.0,59.52,39.68,9.17,https://www.tinkoff.ru/invest/bonds/RU000A105H23/,3.0
0,Сегежа 003P-03R,RU000A107BP5,999.9,Средний,31.0,2024-03-06 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BP5/,21.0
0,ОФЗ 29020,SU29020RMFS3,999.93,Высокий,44.0,2024-03-27 00:00:00,30.28,1000.0,4.0,121.12,333.08,12.11,https://www.tinkoff.ru/invest/bonds/SU29020RMFS3/,8.0
0,ОФЗ 29024,SU29024RMFS5,984.3,Высокий,135.0,2024-01-31 00:00:00,24.97,1000.0,4.0,99.88,824.01,10.15,https://www.tinkoff.ru/invest/bonds/SU29024RMFS5/,30.0
0,ДОМ.РФ ИА БО-001Р-18,RU000A104UV0,789.40087,Средний,100.0,2024-01-28 00:00:00,9.05,796.57,12.0,108.6,72.4,13.76,https://www.tinkoff.ru/invest/bonds/RU000A104UV0/,6.0
0,ДОМ.РФ ИА БО выпуск 9,RU000A103N43,539.748625,Средний,91.0,2024-02-28 00:00:00,10.44,627.25,4.0,41.76,229.68,7.74,https://www.tinkoff.ru/invest/bonds/RU000A103N43/,6.0
0,ОФЗ 29018,SU29018RMFS7,991.7,Высокий,94.0,2024-03-06 00:00:00,28.8,1000.0,4.0,115.2,662.4,11.62,https://www.tinkoff.ru/invest/bonds/SU29018RMFS7/,17.0
0,Металлоинвест 001P-04,RU000A105W08,1001.1,Высокий,37.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105W08/,
0,ДОМ.РФ ИА 018P,RU000A102D46,357.327162,Средний,325.0,2024-02-28 00:00:00,5.57,437.74,4.0,22.28,451.17,6.24,https://www.tinkoff.ru/invest/bonds/RU000A102D46/,3.0
0,ОФЗ 29019,SU29019RMFS5,995.47,Высокий,66.0,2024-01-24 00:00:00,24.1,1000.0,4.0,96.4,385.6,9.68,https://www.tinkoff.ru/invest/bonds/SU29019RMFS5/,33.0
0,Газпром Капитал БО-002P-09,RU000A107050,998.9,Средний,50.0,2024-04-09 00:00:00,33.84,1000.0,4.0,135.36,406.08,13.55,https://www.tinkoff.ru/invest/bonds/RU000A107050/,3.0
0,ВЭБ.РФ ПБО-2 выпуск 31,RU000A1042W6,1011.8,Высокий,57.0,2024-01-24 00:00:00,27.49,1000.0,4.0,109.96,384.86,10.87,https://www.tinkoff.ru/invest/bonds/RU000A1042W6/,37.0
0,ОФЗ 29017,SU29017RMFS9,995.48,Высокий,103.0,2024-03-06 00:00:00,28.8,1000.0,4.0,115.2,720.0,11.57,https://www.tinkoff.ru/invest/bonds/SU29017RMFS9/,17.0
0,Альфа-Банк 001Р выпуск 7,RU000A106VT7,1020.7,Высокий,8.0,2024-01-22 00:00:00,9.22,1000.0,12.0,110.64,0.0,10.84,https://www.tinkoff.ru/invest/bonds/RU000A106VT7/,
0,Селигдар Золотые облигации,RU000A1062M5,5861.75798,Высокий,50.0,2024-04-05 00:00:00,68.56,5749.64,4.0,274.24,822.72,4.68,https://www.tinkoff.ru/invest/bonds/RU000A1062M5/,9.0
0,КИВИ Финанс 001Р-02,RU000A107548,1006.5,Средний,45.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107548/,
0,TCS-perp1,RU000A107738,89903.9493724,Средний,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107738/,
0,ОФЗ 29014,SU29014RMFS6,1000.03,Высокий,26.0,2024-03-27 00:00:00,30.28,1000.0,4.0,121.12,181.68,12.11,https://www.tinkoff.ru/invest/bonds/SU29014RMFS6/,8.0
0,ЕАБР 003Р-008,RU000A106JX4,1004.0,Средний,53.0,2024-07-12 00:00:00,62.64,1000.0,2.0,125.28,1628.64,12.48,https://www.tinkoff.ru/invest/bonds/RU000A106JX4/,1.0
0,ДОМ.РФ ИА 09,RU000A102JB9,374.61828,Средний,322.0,2024-02-28 00:00:00,6.0,455.74,4.0,24.0,480.0,6.41,https://www.tinkoff.ru/invest/bonds/RU000A102JB9/,3.0
