,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
97,А Девелопмент,RU000A104FX7,15,977.9,Низкий,30.02,1000.0,4.0,120.08,1350.9,12.01,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
98,Роял Капитал,RU000A104UF3,19,994.9,Низкий,32.19,1000.0,4.0,128.76,1834.83,12.88,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
99,Хайтэк-Интеграция 1P-01,RU000A106151,29,993.8,Низкий,32.19,1000.0,4.0,128.76,2800.53,12.88,https://www.tinkoff.ru/invest/bonds/RU000A106151/
100,ТЕХНО Лизинг выпуск 5,RU000A103TS0,47,901.1,Средний,8.18,1000.0,12.0,98.16,384.46,9.82,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
101,Соби-Лизинг 001P-01,RU000A105CL6,24,766.612,Низкий,8.61,760.0,12.0,103.32,206.64,13.59,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/
102,КЛС-Трейд БО-02,RU000A105QL6,15,1031.3,Низкий,38.98,1000.0,4.0,155.92,1754.1,15.59,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
103,МаксимаТелеком выпуск 2,RU000A102DK3,7,965.9,Средний,42.28,1000.0,2.0,84.56,1775.76,8.46,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
104,Пионер-Лизинг,RU000A104V00,102,999.0,Низкий,10.27,1000.0,12.0,123.24,1047.54,12.32,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
105,Боржоми выпуск 1,RU000A102SK1,4,970.7,28.02.2024,32.19,1000.0,2.0,64.38,772.56,6.44,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
106,Бизнес Альянс 1Р-01,RU000A105YQ9,29,992.9,Низкий,32.19,1000.0,4.0,128.76,2800.53,12.88,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
107,Азбука Вкуса выпуск 2,RU000A105WR1,112,938.5,Средний,22.18,1000.0,4.0,88.72,7452.48,8.87,https://www.tinkoff.ru/invest/bonds/RU000A105WR1/
108,Энергоника 001Р-03,RU000A105492,46,900.72,Средний,30.45,900.0,4.0,121.8,4202.1,13.53,https://www.tinkoff.ru/invest/bonds/RU000A105492/
109,Роснано БО-002P выпуск 4,RU000A101KK0,5,960.9,Низкий,14.79,1000.0,4.0,59.16,221.85,5.92,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
110,ПИМ выпуск 1,RU000A103WD6,12,986.5,Низкий,28.19,1000.0,4.0,112.76,1014.84,11.28,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
111,Глоракс 1P-01,RU000A105XF4,17,998.0,Средний,32.19,1000.0,4.0,128.76,1641.69,12.88,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
112,Лизинг-Трейд выпуск 9,RU000A106GB6,56,973.4,Средний,10.0,1000.0,12.0,120.0,560.0,12.0,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
113,Агротек БО-02,RU000A1065Y3,45,997.9,Низкий,32.19,1000.0,4.0,128.76,4345.65,12.88,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/
114,Лизинг-Трейд 001P-05,RU000A1053H4,45,995.0,Средний,10.7,1000.0,12.0,128.4,481.5,12.84,https://www.tinkoff.ru/invest/bonds/RU000A1053H4/
115,Лизинг-Трейд 1P-07,RU000A105WZ4,52,989.8,Низкий,10.35,1000.0,12.0,124.2,538.2,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
116,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,45,997.0,Низкий,10.53,1000.0,12.0,126.36,473.85,12.64,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
117,Лизинг трейд выпуск 3,RU000A1034X1,30,930.4,Средний,7.83,1000.0,12.0,93.96,234.9,9.4,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
118,КарМани выпуск 2,RU000A1058U6,23,846.0,Низкий,10.79,800.0,12.0,129.48,248.17,16.18,https://www.tinkoff.ru/invest/bonds/RU000A1058U6/
119,Роделен,RU000A105M59,14,1001.7,Средний,10.7,1000.0,12.0,128.4,149.8,12.84,https://www.tinkoff.ru/invest/bonds/RU000A105M59/
120,Маныч-Агро,RU000A103K20,28,941.2,Средний,26.01,1000.0,4.0,104.04,2184.84,10.4,https://www.tinkoff.ru/invest/bonds/RU000A103K20/
121,Лизинг-Трейд 1P-08,RU000A106987,54,988.2,Низкий,10.35,1000.0,12.0,124.2,558.9,12.42,https://www.tinkoff.ru/invest/bonds/RU000A106987/
122,ДАРС-Девелопмент выпуск 1,RU000A106UM4,23,1000.4,Средний,32.19,1000.0,4.0,128.76,2221.11,12.88,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
