,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
76,Славянск ЭКО выпуск 1,RU000A103WB0,951.6,Средний,32.0,2024-01-16,23.84,1000.0,4.0,95.36,190.72,10.02,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
77,СЕЛЛ-Сервис БО-01,RU000A107GT6,1019.7,Низкий,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107GT6/
78,Ренессанс Кредит выпуск 6,RU000A102RN7,990.8,Средний,25.0,2024-02-17,35.67,1000.0,2.0,71.34,428.04,7.2,https://www.tinkoff.ru/invest/bonds/RU000A102RN7/
79,МФК Лайм-Займ выпуск 1,RU000A104AX8,592.86,Низкий,11.0,2024-03-20,21.75,600.0,4.0,87.0,43.5,14.67,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
80,ХК Финанс выпуск 8,RU000A104XU6,989.7,Средний,17.0,2024-04-05,28.19,1000.0,4.0,112.76,112.76,11.39,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/
81,Быстроденьги 2P-02,RU000A106B51,961.5,Низкий,33.0,2024-01-26,11.4,1000.0,12.0,136.8,22.8,14.23,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
82,Селлер выпуск 2,RU000A106X30,1008.6,Низкий,31.0,2024-01-17,12.79,1000.0,12.0,153.48,25.58,15.22,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
83,МФК Саммит 1P-01,RU000A105UZ8,1019.1,Низкий,24.0,2024-02-11,13.92,1000.0,12.0,167.04,27.84,16.39,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
84,Завод КЭС выпуск 4,RU000A106QS9,908.1,Низкий,54.0,2024-03-15,31.41,1000.0,4.0,125.64,408.33,13.84,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
85,Роял Капитал,RU000A104UF3,966.2,Низкий,16.0,2024-02-27,32.19,1000.0,4.0,128.76,128.76,13.33,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
86,ИЛС БО-01-001P,RU000A107BH2,1033.5,Низкий,34.0,2024-02-03,13.57,1000.0,12.0,162.84,27.14,15.76,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/
