,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
226,ЭкономЛизинг 001Р-06,RU000A1078Y6,994.6,Низкий,31.0,2024-05-23,21.0,43.33,1000.0,4.0,173.32,10.0,17.43,433.0,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/,Не важен / Неизвестно
227,СИБАВТО1Р2,RU000A106CB5,944.0,Низкий,50.0,2024-06-04,10.0,31.41,1000.0,4.0,125.64,17.0,13.31,534.0,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/,Не важен / Неизвестно
228,Петроинжиниринг выпуск 1,RU000A103RL9,969.8,Средний,29.0,2024-06-21,2.0,21.14,1000.0,4.0,84.56,10.0,8.72,211.0,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/,Не важен / Неизвестно
229,Глобал Факторинг Нетворк Рус,RU000A105JN7,864.528,Средний,19.0,2024-04-24,3.0,12.01,840.0,12.0,144.12,19.0,16.67,228.0,https://www.tinkoff.ru/invest/bonds/RU000A105JN7/,Не важен / Неизвестно
230,Бифорком Тек выпуск 1,RU000A1037L9,988.7,Средний,2.0,2024-06-04,7.0,22.71,1000.0,4.0,90.84,1.0,9.19,23.0,https://www.tinkoff.ru/invest/bonds/RU000A1037L9/,Не важен / Неизвестно
231,МБЭС выпуск 2,RU000A101RJ7,980.2,Высокий,74.0,2024-06-10,19.0,26.88,1000.0,2.0,53.76,12.0,5.48,323.0,https://www.tinkoff.ru/invest/bonds/RU000A101RJ7/,Не важен / Неизвестно
232,Литана выпуск 1,RU000A1032S5,996.5,Низкий,1.0,2024-05-01,21.0,28.19,1000.0,4.0,112.76,0.0,11.32,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/,Не важен / Неизвестно
233,ТрансФин-М 001Р выпуск 4,RU000A0ZYEB1,884.6,Средний,42.0,2024-04-18,45.0,43.33,1000.0,2.0,86.66,7.0,9.8,303.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZYEB1/,Не важен / Неизвестно
234,Группа Продовольствие 001P-02,RU000A105EP3,965.0,Средний,18.0,2024-04-03,11.0,10.7,1000.0,12.0,128.4,18.0,13.31,193.0,https://www.tinkoff.ru/invest/bonds/RU000A105EP3/,Не важен / Неизвестно
235,ЛК Эволюция 001P-01,RU000A107GV2,919.17509,Средний,32.0,2024-06-25,2.0,33.23,916.7,4.0,132.92,11.0,14.46,366.0,https://www.tinkoff.ru/invest/bonds/RU000A107GV2/,Не важен / Неизвестно
236,Лизинг-Трейд 001P-10,RU000A107480,1006.9,Низкий,53.0,2024-04-20,6.0,14.27,1000.0,12.0,171.24,53.0,17.01,756.0,https://www.tinkoff.ru/invest/bonds/RU000A107480/,Не важен / Неизвестно
237,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,989.0,Средний,10.0,2024-05-16,18.0,32.19,1000.0,4.0,128.76,3.0,13.02,97.0,https://www.tinkoff.ru/invest/bonds/RU000A104K37/,Не важен / Неизвестно
238,Агротек БО-02,RU000A1065Y3,966.4,Низкий,39.0,2024-04-25,27.0,32.19,1000.0,4.0,128.76,13.0,13.32,418.0,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/,Не важен / Неизвестно
239,Интерлизинг выпуск 6,RU000A106SF2,954.8,Высокий,28.0,2024-05-27,13.0,29.23,1000.0,4.0,116.92,9.0,12.25,263.0,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/,Не важен / Неизвестно
240,Росгеология выпуск 1,RU000A103SV6,961.9,Высокий,5.0,2024-09-26,1.0,38.98,1000.0,2.0,77.96,1.0,8.1,39.0,https://www.tinkoff.ru/invest/bonds/RU000A103SV6/,Не важен / Неизвестно
241,Ритейл Бел Финанс 001P-01,RU000A101QF7,717.975,Высокий,13.0,2024-05-29,6.0,15.31,750.0,4.0,61.24,4.0,8.53,61.0,https://www.tinkoff.ru/invest/bonds/RU000A101QF7/,Не важен / Неизвестно
242,ГТЛК выпуск 9,RU000A0ZZ1J8,958.2,Средний,107.0,2024-06-28,0.0,15.92,1000.0,4.0,63.68,36.0,6.65,573.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/,Не важен / Неизвестно
243,О'КЕЙ 001P выпуск 1,RU000A105FM7,913.5,Высокий,103.0,2024-05-13,15.0,24.88,1000.0,4.0,99.52,34.0,10.89,846.0,https://www.tinkoff.ru/invest/bonds/RU000A105FM7/,Не важен / Неизвестно
244,Охта Групп БО-П03,RU000A1070A3,982.0,Низкий,30.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/,Не важен / Неизвестно
245,ГК Пионер-001P выпуск 6,RU000A104735,946.6,Средний,20.0,2024-06-06,8.0,25.4,1000.0,4.0,101.6,7.0,10.73,178.0,https://www.tinkoff.ru/invest/bonds/RU000A104735/,Не важен / Неизвестно
246,Агротек выпуск 1,RU000A105QZ6,996.9,Низкий,24.0,2024-04-11,36.0,35.76,1000.0,4.0,143.04,8.0,14.35,286.0,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/,Не важен / Неизвестно
247,ДиректЛизинг выпуск 7,RU000A103S30,791.605,Низкий,29.0,2024-06-26,1.0,21.14,850.0,4.0,84.56,10.0,10.68,211.0,https://www.tinkoff.ru/invest/bonds/RU000A103S30/,Не важен / Неизвестно
248,Ритейл Бел Финанс 001P-02,RU000A102TR4,901.7,Высокий,23.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102TR4/,Не важен / Неизвестно
249,АБЗ-1 001Р-05,RU000A1070X5,969.3,Средний,30.0,2024-04-13,7.0,11.4,1000.0,12.0,136.8,30.0,14.11,342.0,https://www.tinkoff.ru/invest/bonds/RU000A1070X5/,Не важен / Неизвестно
250,Реиннольц,RU000A105LS2,1024.7,Низкий,32.0,2024-06-11,9.0,38.98,1000.0,4.0,155.92,11.0,15.22,429.0,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/,Не важен / Неизвестно
251,ЛК РОДЕЛЕН 002P-01,RU000A107076,994.5,Средний,53.0,2024-04-07,10.0,11.22,1000.0,12.0,134.64,53.0,13.54,595.0,https://www.tinkoff.ru/invest/bonds/RU000A107076/,Не важен / Неизвестно
252,ЧЗПСН-Профнастил БО-П2,RU000A101NJ6,955.9,Средний,13.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A101NJ6/,Не важен / Неизвестно
253,Биннофарм Групп выпуск 2,RU000A104Z71,982.9,Высокий,159.0,2024-04-18,21.0,21.75,1000.0,4.0,87.0,53.0,8.85,1153.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z71/,Не важен / Неизвестно
254,Гарант-Инвест 2Р выпуск 5,RU000A105GV6,977.6,Средний,19.0,2024-05-21,16.0,31.93,1000.0,4.0,127.72,6.0,13.06,192.0,https://www.tinkoff.ru/invest/bonds/RU000A105GV6/,Не важен / Неизвестно
255,Брусника выпуск 2Р-1,RU000A1048A9,966.0,Средний,14.0,2024-06-11,6.0,25.66,1000.0,4.0,102.64,5.0,10.63,128.0,https://www.tinkoff.ru/invest/bonds/RU000A1048A9/,Не важен / Неизвестно
256,ЯТЭК выпуск 2,RU000A102ZH2,765.6,Высокий,12.0,2024-04-08,35.0,31.32,800.0,2.0,62.64,2.0,8.18,63.0,https://www.tinkoff.ru/invest/bonds/RU000A102ZH2/,Не важен / Неизвестно
257,Джи-групп выпуск 2,RU000A103JR3,296.04,Средний,4.0,2024-05-13,4.0,6.87,300.0,4.0,27.48,1.0,9.28,7.0,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/,Не важен / Неизвестно
258,М.Видео выпуск 1,RU000A103117,997.3,Средний,0.0,2024-04-18,49.0,47.68,1000.0,2.0,95.36,0.0,9.56,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103117/,Не важен / Неизвестно
259,Технология БО-01,RU000A107DD7,1026.1,Средний,14.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107DD7/,Не важен / Неизвестно
260,АФК Система выпуск 15,RU000A1023K1,960.0,Высокий,76.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1023K1/,Не важен / Неизвестно
261,Балтийский лизинг БО-П08,RU000A106EM8,942.0,Высокий,110.0,2024-04-18,3.0,7.57,1000.0,12.0,90.84,110.0,9.64,833.0,https://www.tinkoff.ru/invest/bonds/RU000A106EM8/,Не важен / Неизвестно
262,Т.Г. Шевченко выпуск 4,RU000A104ZU1,735.4,Средний,27.0,2024-04-25,,0.0,1000.0,4.0,0.0,9.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/,Не важен / Неизвестно
263,ЭнергоТехСервис выпуск 4,RU000A103828,503.9721,Высокий,14.0,2024-06-06,3.0,11.4,531.0,4.0,45.6,5.0,9.05,57.0,https://www.tinkoff.ru/invest/bonds/RU000A103828/,Не важен / Неизвестно
264,ЭнергоТехСервис выпуск 4,RU000A103828,503.9721,Высокий,14.0,2024-06-06,3.0,11.4,531.0,4.0,45.6,5.0,9.05,57.0,https://www.tinkoff.ru/invest/bonds/RU000A103828/,Не важен / Неизвестно
265,Асфальтобетонный завод № 1 выпуск 4,RU000A1065B1,968.8,Средний,24.0,2024-04-23,26.0,29.75,1000.0,4.0,119.0,8.0,12.28,238.0,https://www.tinkoff.ru/invest/bonds/RU000A1065B1/,Не важен / Неизвестно
266,ГК ЕКС выпуск 1,RU000A104BU2,978.4,Средний,8.0,2024-06-20,3.0,28.19,1000.0,4.0,112.76,3.0,11.52,85.0,https://www.tinkoff.ru/invest/bonds/RU000A104BU2/,Не важен / Неизвестно
267,МигКредит об01,RU000A103DA2,119.316,Низкий,2.0,2024-04-27,0.0,1.04,120.0,12.0,12.48,2.0,10.46,2.0,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/,Не важен / Неизвестно
268,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,979.8,Средний,86.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A103C53/,Не важен / Неизвестно
269,Газпром Капитал БЗО26-1-Д,RU000A105QW3,75194.0897372,Высокий,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QW3/,Не важен / Неизвестно
270,Асфальтобетонный завод № 1 выпуск 3,RU000A105SX7,975.1,Средний,21.0,2024-05-02,23.0,30.88,1000.0,4.0,123.52,7.0,12.67,216.0,https://www.tinkoff.ru/invest/bonds/RU000A105SX7/,Не важен / Неизвестно
271,ГК Самолет выпуск 6,RU000A100QA0,981.5,Средний,64.0,2024-05-08,16.0,24.36,1000.0,4.0,97.44,21.0,9.93,512.0,https://www.tinkoff.ru/invest/bonds/RU000A100QA0/,Не важен / Неизвестно
272,Ренессанс Кредит выпуск 6,RU000A102RN7,869.0,Средний,22.0,2024-08-17,9.0,35.32,1000.0,2.0,70.64,4.0,8.13,141.0,https://www.tinkoff.ru/invest/bonds/RU000A102RN7/,Не важен / Неизвестно
273,Банк ВТБ (ПАО) Б-1-351,RU000A107W55,1001.2,Высокий,35.0,2024-04-01,,11.31,1000.0,12.0,135.72,35.0,13.56,396.0,https://www.tinkoff.ru/invest/bonds/RU000A107W55/,Не важен / Неизвестно
274,Ритейл Бел Финанс выпуск 1,RU000A100JH0,246.85,Высокий,3.0,2024-04-02,6.0,5.92,250.0,4.0,23.68,1.0,9.59,6.0,https://www.tinkoff.ru/invest/bonds/RU000A100JH0/,Не важен / Неизвестно
275,ГТЛК 001P-20,RU000A1038M5,984.1,Средний,145.0,2024-06-12,4.0,16.96,1000.0,4.0,67.84,48.0,6.89,814.0,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/,Не важен / Неизвестно
276,ГК Пионер-001Р выпуск 5,RU000A102KG6,490.8095,Средний,8.0,2024-06-18,1.0,10.61,505.0,4.0,42.44,3.0,8.65,32.0,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/,Не важен / Неизвестно
277,ГК Самолет выпуск 10,RU000A103L03,974.0,Высокий,4.0,2024-05-22,10.0,19.84,1000.0,4.0,79.36,1.0,8.15,20.0,https://www.tinkoff.ru/invest/bonds/RU000A103L03/,Не важен / Неизвестно
278,Автодом выпуск 1,RU000A104CJ3,973.5,Средний,8.0,2024-06-26,1.0,26.54,1000.0,4.0,106.16,3.0,10.9,80.0,https://www.tinkoff.ru/invest/bonds/RU000A104CJ3/,Не важен / Неизвестно
279,Республика Беларусь выпуск 7,RU000A100D89,922.2,Средний,13.0,2024-05-02,35.0,36.8,1000.0,2.0,73.6,2.0,7.98,74.0,https://www.tinkoff.ru/invest/bonds/RU000A100D89/,Не важен / Неизвестно
280,Инкаб выпуск 1,RU000A1049M2,982.1,Средний,8.0,2024-06-26,1.0,29.23,1000.0,4.0,116.92,3.0,11.91,88.0,https://www.tinkoff.ru/invest/bonds/RU000A1049M2/,Не важен / Неизвестно
281,Лизинг-Трейд выпуск 4,RU000A104XE0,1004.0,Низкий,38.0,2024-04-25,3.0,12.79,1000.0,12.0,153.48,38.0,15.29,486.0,https://www.tinkoff.ru/invest/bonds/RU000A104XE0/,Не важен / Неизвестно
282,ХКФ Банк выпуск 4,RU000A103760,854.3,Средний,26.0,2024-06-03,6.0,17.31,1000.0,4.0,69.24,9.0,8.1,156.0,https://www.tinkoff.ru/invest/bonds/RU000A103760/,Не важен / Неизвестно
283,Эталон-Финанс выпуск 3,RU000A103QH9,911.7,Высокий,29.0,2024-06-18,3.0,19.66,1000.0,4.0,78.64,10.0,8.63,197.0,https://www.tinkoff.ru/invest/bonds/RU000A103QH9/,Не важен / Неизвестно
284,Роял Капитал БО-П08,RU000A1056Q8,998.3,Средний,17.0,2024-06-12,8.0,34.63,1000.0,4.0,138.52,6.0,13.88,208.0,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/,Не важен / Неизвестно
285,МФК Займер выпуск 2,RU000A103CW8,249.19868,Низкий,2.0,2024-04-23,0.0,2.26,250.3,12.0,27.12,2.0,10.88,5.0,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/,Не важен / Неизвестно
286,О'КЕЙ выпуск 5,RU000A106AH6,922.2,Высокий,109.0,2024-05-27,11.0,25.4,1000.0,4.0,101.6,36.0,11.02,914.0,https://www.tinkoff.ru/invest/bonds/RU000A106AH6/,Не важен / Неизвестно
287,Кармани выпуск 1,RU000A103R98,493.45,Низкий,5.0,2024-04-10,3.0,4.52,500.0,12.0,54.24,5.0,10.99,23.0,https://www.tinkoff.ru/invest/bonds/RU000A103R98/,Не важен / Неизвестно
288,Ренессанс Кредит выпуск 4,RU000A102H83,929.4,Средний,20.0,2024-06-15,34.0,50.11,1000.0,2.0,100.22,3.0,10.78,150.0,https://www.tinkoff.ru/invest/bonds/RU000A102H83/,Не важен / Неизвестно
289,ЭР-Телеком Холдинг,RU000A1058K7,974.5,Высокий,8.0,2024-06-25,2.0,26.62,1000.0,4.0,106.48,3.0,10.93,80.0,https://www.tinkoff.ru/invest/bonds/RU000A1058K7/,Не важен / Неизвестно
290,re:Store выпуск 1,RU000A103935,984.6,Средний,2.0,2024-06-13,4.0,17.49,1000.0,4.0,69.96,1.0,7.11,17.0,https://www.tinkoff.ru/invest/bonds/RU000A103935/,Не важен / Неизвестно
291,Балтийский лизинг БО-П04,RU000A103M10,332.962,Высокий,4.0,2024-05-27,2.0,6.18,340.0,4.0,24.72,1.0,7.42,6.0,https://www.tinkoff.ru/invest/bonds/RU000A103M10/,Не важен / Неизвестно
292,Гарант-Инвест 2Р-06,RU000A106862,971.7,Средний,13.0,2024-04-10,7.0,9.22,1000.0,12.0,110.64,13.0,11.39,120.0,https://www.tinkoff.ru/invest/bonds/RU000A106862/,Не важен / Неизвестно
293,ГТЛК выпуск 15,RU000A100Z91,368.64,Средний,18.0,2024-04-23,5.0,6.61,400.0,4.0,26.44,6.0,7.17,40.0,https://www.tinkoff.ru/invest/bonds/RU000A100Z91/,Не важен / Неизвестно
294,Европлан БО 03,RU000A100W60,970.0,Высокий,65.0,2024-09-26,1.0,43.33,1000.0,2.0,86.66,11.0,8.93,477.0,https://www.tinkoff.ru/invest/bonds/RU000A100W60/,Не важен / Неизвестно
295,Новые Технологии выпуск 2,RU000A106PW3,929.5,Высокий,52.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/,Не важен / Неизвестно
296,АФК Система выпуск 17,RU000A102FT9,901.1,Высокий,79.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102FT9/,Не важен / Неизвестно
297,ВТБ Б-1-343,RU000A106TM6,998.9,Высокий,29.0,2024-04-01,,11.74,1000.0,12.0,140.88,29.0,14.1,340.0,https://www.tinkoff.ru/invest/bonds/RU000A106TM6/,Не важен / Неизвестно
298,АФК Система выпуск 13,RU000A101Q26,986.8,Высокий,73.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A101Q26/,Не важен / Неизвестно
299,ФЭС-Агро выпуск 1,RU000A106P63,962.8,Средний,28.0,2024-05-09,20.0,29.58,1000.0,4.0,118.32,9.0,12.29,266.0,https://www.tinkoff.ru/invest/bonds/RU000A106P63/,Не важен / Неизвестно
300,Новые Технологии БО-03,RU000A1082W2,1000.3,Средний,35.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1082W2/,Не важен / Неизвестно
301,АФК Система выпуск 19,RU000A102SX4,928.2,Высокий,82.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102SX4/,Не важен / Неизвестно
302,АФК Система выпуск 10,RU000A1008J4,917.0,Высокий,59.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1008J4/,Не важен / Неизвестно
303,СГ-транс выпуск 1,RU000A103YP6,967.0,Высокий,30.0,2024-04-29,17.0,21.4,1000.0,4.0,85.6,10.0,8.85,214.0,https://www.tinkoff.ru/invest/bonds/RU000A103YP6/,Не важен / Неизвестно
304,ЛСР выпуск 5,RU000A100ZL8,383.88,Высокий,6.0,2024-04-25,6.0,7.22,400.0,4.0,28.88,2.0,7.52,14.0,https://www.tinkoff.ru/invest/bonds/RU000A100ZL8/,Не важен / Неизвестно
305,Эталон выпуск 002Р-01,RU000A105VU7,964.3,Высокий,166.0,2024-05-22,15.0,29.67,1000.0,4.0,118.68,55.0,12.31,1632.0,https://www.tinkoff.ru/invest/bonds/RU000A105VU7/,Не важен / Неизвестно
306,Банк ВТБ (ПАО) Б-1-346,RU000A107B35,999.9,Высокий,32.0,2024-04-01,,11.74,1000.0,12.0,140.88,32.0,14.09,376.0,https://www.tinkoff.ru/invest/bonds/RU000A107B35/,Не важен / Неизвестно
307,Элемент Лизинг 001P-07,RU000A1080N5,1000.0,Высокий,23.0,2024-04-12,8.0,11.22,1000.0,12.0,134.64,23.0,13.46,258.0,https://www.tinkoff.ru/invest/bonds/RU000A1080N5/,Не важен / Неизвестно
308,Нафтатранс Плюс БО-04,RU000A105CF8,1043.1,Средний,18.0,2024-04-23,4.0,13.57,1000.0,12.0,162.84,18.0,15.61,244.0,https://www.tinkoff.ru/invest/bonds/RU000A105CF8/,Не важен / Неизвестно
309,МФК Займер выпуск 3,RU000A103QJ5,331.7956,Низкий,5.0,2024-04-08,2.0,2.96,334.0,12.0,35.52,5.0,10.71,15.0,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/,Не важен / Неизвестно
310,О'КЕЙ выпуск 2,RU000A1009Z8,942.0,Высокий,60.0,2024-04-12,21.0,21.4,1000.0,4.0,85.6,20.0,9.09,428.0,https://www.tinkoff.ru/invest/bonds/RU000A1009Z8/,Не важен / Неизвестно
311,Авто Финанс Банк БО-1P выпуск 9,RU000A103NY1,964.8,Средний,5.0,2024-09-12,4.0,34.19,1000.0,2.0,68.38,1.0,7.09,34.0,https://www.tinkoff.ru/invest/bonds/RU000A103NY1/,Не важен / Неизвестно
312,Патриот Групп выпуск 1,RU000A105AX5,1001.0,Средний,18.0,2024-04-16,33.0,34.63,1000.0,4.0,138.52,6.0,13.84,208.0,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/,Не важен / Неизвестно
313,МСБ-Лизинг 002Р-06,RU000A105658,332.4468,Средний,5.0,2024-04-04,3.0,3.39,333.28,12.0,40.68,5.0,12.24,17.0,https://www.tinkoff.ru/invest/bonds/RU000A105658/,Не важен / Неизвестно
314,Верхнебаканский цементный завод 001P выпуск 1,RU000A0ZYLK7,900.5,Средний,44.0,2024-06-14,0.0,1.57,1000.0,4.0,6.28,15.0,0.7,24.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZYLK7/,Не важен / Неизвестно
315,ИКС 5 ФИНАНС 003P-04,RU000A107WL0,1002.1,Высокий,118.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107WL0/,Не важен / Неизвестно
316,Интерлизинг выпуск 7,RU000A1077X0,1004.2,Высокий,31.0,2024-04-14,7.0,11.4,1000.0,12.0,136.8,31.0,13.62,353.0,https://www.tinkoff.ru/invest/bonds/RU000A1077X0/,Не важен / Неизвестно
317,Новотранс выпуск 1,RU000A1014S3,364.65,Высокий,7.0,2024-05-29,2.0,7.05,375.0,4.0,28.2,2.0,7.73,14.0,https://www.tinkoff.ru/invest/bonds/RU000A1014S3/,Не важен / Неизвестно
318,О'КЕЙ выпуск 3,RU000A1014B9,363.45,Высокий,7.0,2024-05-28,2.0,6.35,375.0,4.0,25.4,2.0,6.99,13.0,https://www.tinkoff.ru/invest/bonds/RU000A1014B9/,Не важен / Неизвестно
319,АФК Система выпуск 8,RU000A0ZYWU3,972.6,Высокий,46.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZYWU3/,Не важен / Неизвестно
320,ГТЛК выпуск 17,RU000A101QL5,848.8,Средний,133.0,2024-05-27,7.0,16.09,1000.0,4.0,64.36,44.0,7.58,708.0,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/,Не важен / Неизвестно
321,Экспобанк 001Р-01,RU000A103RT2,968.7,Средний,5.0,2024-06-25,1.0,19.49,1000.0,4.0,77.96,2.0,8.05,39.0,https://www.tinkoff.ru/invest/bonds/RU000A103RT2/,Не важен / Неизвестно
322,Регион-Продукт 001P-04,RU000A1075R6,1070.0,Высокий,30.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1075R6/,Не важен / Неизвестно
323,ХКФ Банк выпуск 7,RU000A102RF3,1001.8,Средний,22.0,2024-05-10,23.0,35.76,1000.0,4.0,143.04,7.0,14.28,250.0,https://www.tinkoff.ru/invest/bonds/RU000A102RF3/,Не важен / Неизвестно
324,Урожай серия 3,RU000A106J04,1002.9,Средний,27.0,2024-04-09,36.0,34.63,1000.0,4.0,138.52,9.0,13.81,312.0,https://www.tinkoff.ru/invest/bonds/RU000A106J04/,Не важен / Неизвестно
325,БЭЛТИ-ГРАНД БО-П06,RU000A1076A0,998.0,Низкий,54.0,2024-04-06,11.0,12.09,1000.0,12.0,145.08,54.0,14.54,653.0,https://www.tinkoff.ru/invest/bonds/RU000A1076A0/,Не важен / Неизвестно
326,ПАО НК Роснефть 001P-04,RU000A0JXQK2,995.0,Высокий,36.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0JXQK2/,Не важен / Неизвестно
327,ЛСР выпуск 7,RU000A103PX8,899.8,Высокий,29.0,2024-06-14,4.0,18.7,1000.0,4.0,74.8,10.0,8.31,187.0,https://www.tinkoff.ru/invest/bonds/RU000A103PX8/,Не важен / Неизвестно
328,Аэрофьюэлз выпуск 2,RU000A103SZ7,972.7,Средний,5.0,2024-06-27,1.0,21.4,1000.0,4.0,85.6,2.0,8.8,43.0,https://www.tinkoff.ru/invest/bonds/RU000A103SZ7/,Не важен / Неизвестно
329,ЕвроТранс 002Р-01,RU000A1082G5,1000.6,Средний,82.0,2024-04-18,6.0,12.09,1000.0,12.0,145.08,82.0,14.5,991.0,https://www.tinkoff.ru/invest/bonds/RU000A1082G5/,Не важен / Неизвестно
330,Сэтл Групп выпуск 4,RU000A103WQ8,939.8,Средний,12.0,2024-04-19,18.0,20.45,1000.0,4.0,81.8,4.0,8.7,82.0,https://www.tinkoff.ru/invest/bonds/RU000A103WQ8/,Не важен / Неизвестно
331,ПИК-Корпорация выпуск 2,RU000A1016Z3,483.85,Высокий,8.0,2024-06-12,2.0,8.87,500.0,4.0,35.48,3.0,7.33,27.0,https://www.tinkoff.ru/invest/bonds/RU000A1016Z3/,Не важен / Неизвестно
332,ММЦБ выпуск 2,RU000A105054,953.0,Средний,33.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105054/,Не важен / Неизвестно
333,АФК Система выпуск 12,RU000A101012,955.1,Высокий,66.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A101012/,Не важен / Неизвестно
334,ГТЛК БО-08,RU000A0JWST1,931.1,Средний,29.0,2024-09-03,6.0,35.58,1000.0,2.0,71.16,5.0,7.64,178.0,https://www.tinkoff.ru/invest/bonds/RU000A0JWST1/,Не важен / Неизвестно
335,Элемент Лизинг 001P выпуск 6,RU000A1071U9,860.8108,Средний,30.0,2024-04-15,5.0,9.48,861.5,12.0,113.76,30.0,13.22,284.0,https://www.tinkoff.ru/invest/bonds/RU000A1071U9/,Не важен / Неизвестно
336,Элемент Лизинг 001P выпуск 6,RU000A1071U9,860.8108,Средний,30.0,2024-04-15,5.0,9.48,861.5,12.0,113.76,30.0,13.22,284.0,https://www.tinkoff.ru/invest/bonds/RU000A1071U9/,Не важен / Неизвестно
337,Балтийский лизинг БО-П03,RU000A101Z66,246.0,Высокий,3.0,2024-04-26,3.0,3.83,250.0,4.0,15.32,1.0,6.23,4.0,https://www.tinkoff.ru/invest/bonds/RU000A101Z66/,Не важен / Неизвестно
338,ЕвразХолдинг Финанс 002P-01R,RU000A100P85,974.9,Высокий,3.0,2024-07-29,13.0,34.45,1000.0,2.0,68.9,0.0,7.07,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100P85/,Не важен / Неизвестно
339,АФК Система выпуск 24,RU000A105L27,913.5,Высокий,103.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105L27/,Не важен / Неизвестно
340,Домодедово Фьюэл Фасилитис,RU000A105MP6,949.6,Средний,20.0,2024-06-18,36.0,55.51,1000.0,2.0,111.02,3.0,11.69,167.0,https://www.tinkoff.ru/invest/bonds/RU000A105MP6/,Не важен / Неизвестно
341,Атомстройкомплекс выпуск 1,RU000A100VS2,970.6,Средний,5.0,2024-09-24,1.0,41.15,1000.0,2.0,82.3,1.0,8.48,41.0,https://www.tinkoff.ru/invest/bonds/RU000A100VS2/,Не важен / Неизвестно
342,ВИС Финанс выпуск 4,RU000A106EZ0,944.4,Высокий,28.0,2024-05-22,14.0,27.93,1000.0,4.0,111.72,9.0,11.83,251.0,https://www.tinkoff.ru/invest/bonds/RU000A106EZ0/,Не важен / Неизвестно
343,ГТЛК выпуск 10,RU000A0ZZ984,975.3,Высокий,109.0,2024-05-31,11.0,28.88,1000.0,4.0,115.52,36.0,11.84,1040.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ984/,Не важен / Неизвестно
344,МКБ 001Р выпуск 3,RU000A103FP5,977.4,Высокий,3.0,2024-07-23,15.0,36.19,1000.0,2.0,72.38,0.0,7.41,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103FP5/,Не важен / Неизвестно
345,Лизинг-Трейд 001P-05,RU000A1053H4,1019.0,Средний,39.0,2024-04-08,12.0,13.57,1000.0,12.0,162.84,39.0,15.98,529.0,https://www.tinkoff.ru/invest/bonds/RU000A1053H4/,Не важен / Неизвестно
