,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
50,МФК Лайм-Займ выпуск 2,RU000A105AJ4,809.6,Низкий,21.0,11.4,800.0,12.0,136.8,11.4,16.9,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
51,МФК Лайм-Займ 001Р-03,RU000A107795,992.5,Низкий,34.0,14.27,1000.0,12.0,171.24,28.54,17.25,https://www.tinkoff.ru/invest/bonds/RU000A107795/
52,Онлайн Микрофинанс выпуск 1,RU000A103406,975.2,Средний,4.0,8.87,1000.0,12.0,106.44,0.0,10.91,https://www.tinkoff.ru/invest/bonds/RU000A103406/
53,МФК Фордевинд,RU000A105849,846.72,Низкий,20.0,11.92,840.0,12.0,143.04,11.92,16.89,https://www.tinkoff.ru/invest/bonds/RU000A105849/
54,МФК ЦФП выпуск 1,RU000A102T55,989.1,Низкий,1.0,9.57,1000.0,12.0,114.84,0.0,11.61,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
55,Пионер-Лизинг-БО-П03,RU000A1013N6,1060.2,Низкий,69.0,14.96,1000.0,12.0,179.52,74.8,16.93,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
56,МигКредит БО-02,RU000A106KT0,948.9,Низкий,30.0,10.53,1000.0,12.0,126.36,21.06,13.32,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
57,Айди Коллект выпуск 3,RU000A1065M8,933.9,Низкий,27.0,10.7,1000.0,12.0,128.4,21.4,13.75,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
58,Селлер выпуск 1,RU000A106KY0,991.8,Низкий,18.0,12.79,1000.0,12.0,153.48,12.79,15.47,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
59,Быстроденьги 2P-02,RU000A106B51,946.6,Низкий,34.0,11.4,1000.0,12.0,136.8,22.8,14.45,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
60,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,924.8,Низкий,42.0,10.53,1000.0,12.0,126.36,31.59,13.66,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
61,Роял Капитал,RU000A104UF3,953.5,Низкий,17.0,32.19,1000.0,4.0,128.76,128.76,13.5,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
62,Фармфорвард БО-01,RU000A107BD1,1000.9,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107BD1/
63,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,958.0,Низкий,38.0,14.27,1000.0,12.0,171.24,42.81,17.87,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
64,ТЕХНО Лизинг выпуск 5,RU000A103TS0,829.4,Средний,44.0,8.18,1000.0,12.0,98.16,24.54,11.84,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
