,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
888,РЕСО-Лизинг БО-02П-02,RU000A105HH3,995.4,Высокий,103.0,2024-05-27,59.0,56.29,1000.0,2.0,112.58,2870.79,11.31,https://www.tinkoff.ru/invest/bonds/RU000A105HH3/,
889,АФК Система выпуск 28,RU000A107SM6,999.9,Высокий,46.0,2024-05-16,18.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107SM6/,
890,ОФЗ 29023,SU29023RMFS7,983.5,Высокий,124.0,2024-06-05,8.0,33.49,1000.0,4.0,133.96,1038.19,13.62,https://www.tinkoff.ru/invest/bonds/SU29023RMFS7/,
891,МТС 002P-02,RU000A1078S8,996.0,Высокий,55.0,2024-05-22,15.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1078S8/,
892,ВЭБ.РФ выпуск 4,RU000A106LL5,1015.2,Высокий,101.0,2024-06-05,9.0,37.5,1000.0,4.0,150.0,937.5,14.78,https://www.tinkoff.ru/invest/bonds/RU000A106LL5/,
893,ДОМ.РФ ИА 002P,RU000A0ZYJT2,66.4895,Средний,265.0,2024-04-28,1.0,1.65,69.08,4.0,6.6,108.9,9.93,https://www.tinkoff.ru/invest/bonds/RU000A0ZYJT2/,
894,ВЭБ.РФ ПБО-002Р-36,RU000A105YH8,1013.9,Высокий,77.0,2024-03-27,42.0,24.36,1000.0,4.0,97.44,462.84,9.61,https://www.tinkoff.ru/invest/bonds/RU000A105YH8/,
895,Биннофарм Групп 001P-03,RU000A107E81,1006.0,Высокий,32.0,2024-06-17,3.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107E81/,
896,ВсеИнструменты.ру 001P-01,RU000A107GJ7,1014.9,Высокий,32.0,2024-03-24,0.0,13.22,1000.0,12.0,158.64,26.44,15.63,https://www.tinkoff.ru/invest/bonds/RU000A107GJ7/,
897,Газпром Нефть 003P-08R,RU000A107HG1,1010.7,Высокий,32.0,2024-03-27,13.0,12.35,1000.0,12.0,148.2,24.7,14.66,https://www.tinkoff.ru/invest/bonds/RU000A107HG1/,
898,Борец Капитал 001P-02,RU000A107BR1,1012.0,Высокий,20.0,2024-04-04,9.0,12.88,1000.0,12.0,154.56,12.88,15.27,https://www.tinkoff.ru/invest/bonds/RU000A107BR1/,
899,ОФЗ 24021,SU24021RMFS6,1000.65,Высокий,0.0,2024-04-24,26.0,32.02,1000.0,4.0,128.08,0.0,12.8,https://www.tinkoff.ru/invest/bonds/SU24021RMFS6/,
900,ДОМ.РФ ИА 001Р-25,RU000A105H23,615.397833,Средний,103.0,2024-03-28,4.0,4.52,707.11,12.0,54.24,36.16,8.81,https://www.tinkoff.ru/invest/bonds/RU000A105H23/,
901,СПМК БО-02,RU000A106FN3,954.1,Низкий,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/,
