,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
133,Роял Капитал БО-П10,RU000A1079H9,1001.0,Низкий,31.0,2024-05-28,14.0,43.33,1000.0,4.0,173.32,303.31,17.31,https://www.tinkoff.ru/invest/bonds/RU000A1079H9/,
134,Сегежа,RU000A104UA4,969.8,Средний,157.0,2024-05-27,11.0,32.19,1000.0,4.0,128.76,1255.41,13.28,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/,
135,КЛС-Трейд БО-02,RU000A105QL6,1000.7,Низкий,9.0,2024-04-09,37.0,38.98,1000.0,4.0,155.92,77.96,15.58,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/,
136,СОБИЛИЗ1Р2,RU000A106AK0,793.432,Низкий,25.0,2024-03-25,8.0,8.35,820.0,12.0,100.2,16.7,12.63,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/,
137,Электрощит-Стройсистема выпуск 2,RU000A101UD4,944.0,Низкий,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101UD4/,
138,Селлер выпуск 2,RU000A106X30,994.2,Низкий,29.0,2024-04-16,4.0,12.79,1000.0,12.0,153.48,25.58,15.44,https://www.tinkoff.ru/invest/bonds/RU000A106X30/,
139,Центр-Резерв БО-01,RU000A104TG3,889.95,Низкий,19.0,2024-04-06,9.0,13.31,850.0,12.0,159.72,13.31,17.95,https://www.tinkoff.ru/invest/bonds/RU000A104TG3/,
140,Мой самокат БО-01,RU000A107PE9,1033.6,Низкий,21.0,2024-03-29,14.0,14.27,1000.0,12.0,171.24,14.27,16.57,https://www.tinkoff.ru/invest/bonds/RU000A107PE9/,
141,Айди Коллект выпуск 3,RU000A1065M8,955.0,Средний,24.0,2024-04-20,1.0,10.7,1000.0,12.0,128.4,21.4,13.45,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/,
142,КИФА выпуск 1,RU000A106EV9,957.0,Средний,26.0,2024-03-25,35.0,31.41,1000.0,4.0,125.64,188.46,13.13,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/,
143,Моторные технологии 001Р-04,RU000A107TD3,1005.8,Средний,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107TD3/,
144,Завод КЭС выпуск 4,RU000A106QS9,911.8,Низкий,52.0,2024-06-14,4.0,31.41,1000.0,4.0,125.64,408.33,13.78,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/,
145,РКК выпуск 2,RU000A105ZW4,1004.8,Средний,35.0,2024-06-20,2.0,38.98,1000.0,4.0,155.92,311.84,15.52,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/,
146,Аквилон-Лизинг БО-03-001P,RU000A107M32,999.4,Низкий,33.0,2024-04-23,30.0,38.37,1000.0,4.0,153.48,306.96,15.36,https://www.tinkoff.ru/invest/bonds/RU000A107M32/,
147,Элит Строй выпуск 1,RU000A103M85,987.0,Средний,4.0,2024-04-17,2.0,10.0,1000.0,12.0,120.0,0.0,12.16,https://www.tinkoff.ru/invest/bonds/RU000A103M85/,
148,ГЛОРАКС 01,RU000A1053W3,949.6,Средний,16.0,2024-05-20,13.0,29.58,1000.0,4.0,118.32,118.32,12.46,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/,
149,АйДи Коллект выпуск 4,RU000A106XT3,982.0,Низкий,29.0,2024-03-23,0.0,11.74,1000.0,12.0,140.88,23.48,14.35,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/,
150,ЛК РОДЕЛЕН 001P-03,RU000A105M59,983.7,Средний,43.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105M59/,
151,Бизнес Альянс 001Р-04,RU000A107QM0,1003.2,Низкий,33.0,2024-04-05,10.0,14.27,1000.0,12.0,171.24,28.54,17.07,https://www.tinkoff.ru/invest/bonds/RU000A107QM0/,
152,Охта Групп выпуск 2,RU000A1040V2,967.4,Низкий,7.0,2024-05-14,14.0,27.06,1000.0,4.0,108.24,27.06,11.19,https://www.tinkoff.ru/invest/bonds/RU000A1040V2/,
153,СибАвтоТранс выпуск 1,RU000A105SZ2,1006.4,Низкий,34.0,2024-05-02,26.0,38.98,1000.0,4.0,155.92,311.84,15.49,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/,
154,СПМК БО-01,RU000A105BW5,1003.9,Низкий,18.0,2024-04-25,29.0,38.98,1000.0,4.0,155.92,155.92,15.53,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/,
155,Завод КЭС выпуск 3,RU000A105AW7,1035.0,Низкий,30.0,2024-04-16,37.0,43.33,1000.0,4.0,173.32,303.31,16.75,https://www.tinkoff.ru/invest/bonds/RU000A105AW7/,
156,Энергоника 001Р-04,RU000A106R79,967.7,Средний,52.0,2024-05-16,17.0,34.63,1000.0,4.0,138.52,450.19,14.31,https://www.tinkoff.ru/invest/bonds/RU000A106R79/,
157,Глоракс 001P-02,RU000A108132,999.0,Средний,23.0,2024-04-14,4.0,12.27,1000.0,12.0,147.24,12.27,14.74,https://www.tinkoff.ru/invest/bonds/RU000A108132/,
158,Айди Коллект выпуск 2,RU000A104JV3,993.1,Низкий,10.0,2024-04-06,8.0,11.74,1000.0,12.0,140.88,0.0,14.19,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/,
159,ДиректЛизинг 002P-01,RU000A106GY8,829.5,Низкий,39.0,2024-04-04,27.0,26.54,875.0,4.0,106.16,238.86,12.8,https://www.tinkoff.ru/invest/bonds/RU000A106GY8/,
160,ЭконЛиз1Р4,RU000A1067T9,937.9,Низкий,25.0,2024-05-14,15.0,29.58,1000.0,4.0,118.32,177.48,12.62,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/,
161,Мосгорломбард выпуск 3,RU000A106FW4,962.5,Низкий,39.0,2024-03-29,38.0,34.63,1000.0,4.0,138.52,311.67,14.39,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/,
162,ЭкономЛизинг 001Р-05,RU000A106R12,958.0,Средний,28.0,2024-05-15,17.0,33.58,1000.0,4.0,134.32,235.06,14.02,https://www.tinkoff.ru/invest/bonds/RU000A106R12/,
163,Лизинг-Трейд выпуск 9,RU000A106GB6,917.2,Низкий,50.0,2024-03-30,9.0,10.0,1000.0,12.0,120.0,40.0,13.08,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/,
164,Энергоника 001Р-03,RU000A105492,859.5,Средний,40.0,2024-05-21,13.0,30.45,900.0,4.0,121.8,304.5,14.17,https://www.tinkoff.ru/invest/bonds/RU000A105492/,
165,Сбербанк 002СУБ-02R,RU000A102HC1,8200000.0,Средний,83.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/,
166,Альфа Дон Транс выпуск 1,RU000A106Y70,1010.1,Средний,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/,
167,СЕЛЛ-Сервис БО-01,RU000A107GT6,1021.8,Средний,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107GT6/,
168,Лизинг-Трейд выпуск 2,RU000A1029F8,573.5805,Низкий,6.0,2024-04-04,3.0,4.44,583.5,12.0,53.28,0.0,9.29,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/,
169,ЖКХ Якутии выпуск 1,RU000A100PB0,984.0,Средний,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100PB0/,
170,Центр-Резерв БО-02,RU000A1056T2,910.89,Низкий,29.0,2024-04-07,7.0,11.57,900.0,12.0,138.84,23.14,15.24,https://www.tinkoff.ru/invest/bonds/RU000A1056T2/,
171,КАМАЗ выпуск 9,RU000A0ZZ885,992.1,Средний,109.0,2024-05-21,43.0,54.9,1000.0,2.0,109.8,2964.6,11.07,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ885/,
172,Саммит 001P-02,RU000A107AZ6,993.4,Низкий,31.0,2024-03-30,14.0,14.96,1000.0,12.0,179.52,29.92,18.07,https://www.tinkoff.ru/invest/bonds/RU000A107AZ6/,
173,Аренза-Про выпуск 2,RU000A106GC4,945.0,Средний,26.0,2024-03-30,8.0,9.22,1000.0,12.0,110.64,18.44,11.71,https://www.tinkoff.ru/invest/bonds/RU000A106GC4/,
174,ПЗ Пушкинское выпуск 1,RU000A104JF6,970.0,Низкий,22.0,2024-05-13,16.0,29.58,1000.0,4.0,118.32,147.9,12.2,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/,
175,ГТЛК выпуск 9,RU000A0ZZ1J8,952.1,Средний,107.0,2024-03-29,17.0,15.92,1000.0,4.0,63.68,413.92,6.69,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/,
176,Лизинг-Трейд 1P-07,RU000A105WZ4,940.6,Низкий,46.0,2024-03-31,9.0,10.35,1000.0,12.0,124.2,31.05,13.2,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/,
177,Вита Лайн 001Р выпуск 2,RU000A102B97,955.3,Средний,19.0,2024-04-30,14.0,21.14,1000.0,4.0,84.56,84.56,8.85,https://www.tinkoff.ru/invest/bonds/RU000A102B97/,
178,ГазТрансСнаб 001Р-01,RU000A1075D6,1057.8,Средний,54.0,2024-04-30,30.0,43.33,1000.0,4.0,173.32,563.29,16.38,https://www.tinkoff.ru/invest/bonds/RU000A1075D6/,
179,Сэтл Групп выпуск 3,RU000A1030X9,993.5,Высокий,0.0,2024-04-17,15.0,18.36,1000.0,4.0,73.44,0.0,7.39,https://www.tinkoff.ru/invest/bonds/RU000A1030X9/,
180,Соби-Лизинг 001P-01,RU000A105CL6,605.242,Низкий,18.0,2024-03-25,7.0,6.96,610.0,12.0,83.52,6.96,13.8,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/,
181,АФК Система выпуск 13,RU000A101Q26,983.1,Высокий,73.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101Q26/,
182,МФК Займер выпуск 3,RU000A103QJ5,330.6266,Низкий,5.0,2024-04-08,1.0,2.96,334.0,12.0,35.52,0.0,10.74,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/,
183,Проект 111 001Р-01,RU000A106U90,946.0,Средний,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U90/,
184,РКС2Р3,RU000A106DV1,963.7,Средний,26.0,2024-06-17,2.0,33.06,1000.0,4.0,132.24,198.36,13.72,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/,
185,Т.Г. Шевченко выпуск 3,RU000A104Z89,854.0,Средний,15.0,2024-04-18,0.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/,
186,Лизинг-Трейд 1P-08,RU000A106987,938.5,Низкий,49.0,2024-04-17,2.0,10.35,1000.0,12.0,124.2,41.4,13.23,https://www.tinkoff.ru/invest/bonds/RU000A106987/,
187,МК Лизинг БО-01,RU000A107720,1008.8,Средний,31.0,2024-04-17,3.0,12.96,1000.0,12.0,155.52,25.92,15.42,https://www.tinkoff.ru/invest/bonds/RU000A107720/,
188,МСБ-Лизинг 003Р-02,RU000A107C91,1005.0,Средний,31.0,2024-04-06,8.0,12.79,1000.0,12.0,153.48,25.58,15.27,https://www.tinkoff.ru/invest/bonds/RU000A107C91/,
189,Гарант-Инвест 2Р-06,RU000A106862,959.9,Средний,13.0,2024-04-10,5.0,9.22,1000.0,12.0,110.64,9.22,11.53,https://www.tinkoff.ru/invest/bonds/RU000A106862/,
190,ДАРС-Девелопмент выпуск 1,RU000A106UM4,972.4,Средний,17.0,2024-06-06,7.0,32.19,1000.0,4.0,128.76,128.76,13.24,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/,
191,Мосрегионлифт БО-01,RU000A105RU5,1009.8,Низкий,21.0,2024-04-18,3.0,12.79,1000.0,12.0,153.48,12.79,15.2,https://www.tinkoff.ru/invest/bonds/RU000A105RU5/,
192,Солид-Лизинг БО-001-07,RU000A105P07,824.5,Низкий,20.0,2024-04-16,2.0,8.79,850.0,12.0,105.48,8.79,12.79,https://www.tinkoff.ru/invest/bonds/RU000A105P07/,
193,Бифорком Тек выпуск 1,RU000A1037L9,987.8,Средний,2.0,2024-06-04,5.0,22.71,1000.0,4.0,90.84,0.0,9.2,https://www.tinkoff.ru/invest/bonds/RU000A1037L9/,
194,НПО Химтэк выпуск 1,RU000A103H25,767.84,Средний,16.0,2024-05-02,15.0,22.53,800.0,4.0,90.12,90.12,11.74,https://www.tinkoff.ru/invest/bonds/RU000A103H25/,
195,ВИС Финанс выпуск 5,RU000A107D33,990.0,Высокий,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107D33/,
196,Газпром Капитал 001Б-02,RU000A1039A8,860000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1039A8/,
197,Сибстекло БО-П03,RU000A105C93,1000.7,Низкий,18.0,2024-04-20,1.0,12.09,1000.0,12.0,145.08,12.09,14.5,https://www.tinkoff.ru/invest/bonds/RU000A105C93/,
198,КОНТРОЛ лизинг выпуск 1,RU000A106T85,986.9,Средний,52.0,2024-03-28,12.0,11.57,1000.0,12.0,138.84,46.28,14.07,https://www.tinkoff.ru/invest/bonds/RU000A106T85/,
199,ЛК РОДЕЛЕН 002P-01,RU000A107076,984.0,Средний,53.0,2024-04-07,7.0,11.22,1000.0,12.0,134.64,44.88,13.68,https://www.tinkoff.ru/invest/bonds/RU000A107076/,
200,Лизинг-Трейд 001P-06,RU000A105RF6,949.3,Низкий,44.0,2024-04-13,4.0,10.35,1000.0,12.0,124.2,31.05,13.08,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/,
201,Мосгорломбард выпуск 4,RU000A106MV2,973.4,Низкий,46.0,2024-04-30,24.0,34.63,1000.0,4.0,138.52,380.93,14.23,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/,
202,Джи-групп выпуск 2,RU000A103JR3,295.26,Средний,4.0,2024-05-13,3.0,6.87,300.0,4.0,27.48,6.87,9.31,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/,
203,Гарант-Инвест 2Р выпуск 5,RU000A105GV6,969.1,Средний,19.0,2024-05-21,13.0,31.93,1000.0,4.0,127.72,127.72,13.18,https://www.tinkoff.ru/invest/bonds/RU000A105GV6/,
204,Азбука Вкуса выпуск 2,RU000A105WR1,943.5,Средний,106.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105WR1/,
205,re:Store выпуск 1,RU000A103935,981.2,Средний,2.0,2024-06-13,2.0,17.49,1000.0,4.0,69.96,0.0,7.13,https://www.tinkoff.ru/invest/bonds/RU000A103935/,
206,ЗАС Корпсан БО-П01,RU000A107G22,1002.3,Средний,32.0,2024-06-21,1.0,41.15,1000.0,4.0,164.6,329.2,16.42,https://www.tinkoff.ru/invest/bonds/RU000A107G22/,
207,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,998.0,Низкий,29.0,2024-04-21,1.0,11.74,1000.0,12.0,140.88,23.48,14.12,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/,
208,ВИС Финанс выпуск 1,RU000A102952,990.0,Высокий,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102952/,
209,Фармфорвард БО-01,RU000A107BD1,1039.5,Низкий,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BD1/,
210,Центральная ППК выпуск 3,RU000A103F27,976.9,Средний,3.0,2024-07-17,17.0,41.15,1000.0,2.0,82.3,41.15,8.42,https://www.tinkoff.ru/invest/bonds/RU000A103F27/,
211,ПЗ Пушкинское 001Р-01,RU000A107761,1030.0,Низкий,55.0,2024-05-14,20.0,38.98,1000.0,4.0,155.92,506.74,15.14,https://www.tinkoff.ru/invest/bonds/RU000A107761/,
212,Транс-Миссия БО-02,RU000A107FG5,1024.6,Низкий,44.0,2024-04-19,2.0,14.44,1000.0,12.0,173.28,43.32,16.91,https://www.tinkoff.ru/invest/bonds/RU000A107FG5/,
213,Аренза-Про 001P-03,RU000A107217,984.7,Низкий,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107217/,
214,Бизнес-Недвижимость выпуск 1,RU000A1022G1,389.12,Средний,4.0,2024-05-24,3.0,9.05,400.0,4.0,36.2,9.05,9.3,https://www.tinkoff.ru/invest/bonds/RU000A1022G1/,
215,КАМАЗ БО-10,RU000A0ZZ877,990.6,Средний,109.0,2024-05-21,43.0,54.9,1000.0,2.0,109.8,2964.6,11.08,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ877/,
216,МФК Займер выпуск 2,RU000A103CW8,331.5984,Низкий,2.0,2024-03-24,0.0,2.61,333.6,12.0,31.32,0.0,9.45,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/,
217,ГТЛК 002P выпуск 1,RU000A102VR0,959.7,Средний,143.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/,
218,Лизинг-Трейд 001P-11,RU000A107NJ3,1010.0,Низкий,57.0,2024-03-26,15.0,14.27,1000.0,12.0,171.24,57.08,16.95,https://www.tinkoff.ru/invest/bonds/RU000A107NJ3/,
219,Аренза-Про 001P-04,RU000A107ST1,1000.0,Низкий,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107ST1/,
220,Брусника. Строительство и девелопмент 002P-02,RU000A107UU5,997.5,Высокий,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107UU5/,
221,СФО ВТБ РКС-1 выпуск 1,RU000A1032P1,892.9,Высокий,80.0,2024-04-01,5.0,5.83,1000.0,12.0,69.96,34.98,7.84,https://www.tinkoff.ru/invest/bonds/RU000A1032P1/,
222,ЭР-Телеком Холдинг выпуск 5,RU000A1030K6,995.3,Высокий,0.0,2024-04-15,16.0,18.18,1000.0,4.0,72.72,0.0,7.31,https://www.tinkoff.ru/invest/bonds/RU000A1030K6/,
223,ДиректЛизинг выпуск 7,RU000A103S30,787.1,Низкий,29.0,2024-03-27,23.0,21.14,850.0,4.0,84.56,147.98,10.74,https://www.tinkoff.ru/invest/bonds/RU000A103S30/,
224,ЧЗПСН-Профнастил БО-П2,RU000A101NJ6,953.4,Средний,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101NJ6/,
225,Унител БО-П01,RU000A107F07,1007.0,Низкий,32.0,2024-06-19,2.0,41.15,1000.0,4.0,164.6,329.2,16.35,https://www.tinkoff.ru/invest/bonds/RU000A107F07/,
226,ЛК РОДЕЛЕН 001P-04,RU000A105SK4,972.0,Средний,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105SK4/,
227,ПЮДМ БО-П2,RU000A1020K7,9605.0,Низкий,15.0,2024-03-23,7.0,92.92,10000.0,12.0,1115.04,92.92,11.61,https://www.tinkoff.ru/invest/bonds/RU000A1020K7/,
228,СИБАВТО1Р2,RU000A106CB5,944.6,Низкий,50.0,2024-06-04,8.0,31.41,1000.0,4.0,125.64,376.92,13.3,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/,
229,Агротек выпуск 1,RU000A105QZ6,993.5,Низкий,24.0,2024-04-11,33.0,35.76,1000.0,4.0,143.04,214.56,14.4,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/,
230,ЛК РОДЕЛЕН 002Р-02,RU000A107SA1,1013.1,Низкий,45.0,2024-04-13,5.0,12.79,1000.0,12.0,153.48,38.37,15.15,https://www.tinkoff.ru/invest/bonds/RU000A107SA1/,
231,Т.Г. Шевченко выпуск 2,RU000A101P92,977.1,Средний,13.0,2024-05-16,13.0,28.19,1000.0,4.0,112.76,84.57,11.54,https://www.tinkoff.ru/invest/bonds/RU000A101P92/,
232,ТД РКС-Сочи 002Р-2,RU000A104KS7,987.1,Средний,10.0,2024-05-21,14.0,32.19,1000.0,4.0,128.76,64.38,13.04,https://www.tinkoff.ru/invest/bonds/RU000A104KS7/,
233,ЛК Эволюция 001P-01,RU000A107GV2,1002.4,Средний,32.0,2024-03-26,41.0,36.28,1000.0,4.0,145.12,290.24,14.48,https://www.tinkoff.ru/invest/bonds/RU000A107GV2/,
234,ТЕХНО Лизинг 001Р-06,RU000A107FN1,1021.8,Низкий,55.0,2024-04-19,2.0,12.09,1000.0,12.0,145.08,48.36,14.2,https://www.tinkoff.ru/invest/bonds/RU000A107FN1/,
235,Лизинг-Трейд выпуск 4,RU000A104XE0,994.1,Низкий,38.0,2024-03-26,11.0,10.7,1000.0,12.0,128.4,32.1,12.92,https://www.tinkoff.ru/invest/bonds/RU000A104XE0/,
236,ЭкономЛизинг 001Р-06,RU000A1078Y6,999.6,Низкий,31.0,2024-05-23,17.0,43.33,1000.0,4.0,173.32,303.31,17.34,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/,
237,Завод КЭС выпуск 2,RU000A102AB8,492.1,Низкий,6.0,2024-04-25,11.0,15.14,500.0,4.0,60.56,15.14,12.31,https://www.tinkoff.ru/invest/bonds/RU000A102AB8/,
238,АФК Система выпуск 15,RU000A1023K1,958.4,Высокий,77.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1023K1/,
239,Реиннольц,RU000A105LS2,1025.3,Низкий,32.0,2024-06-11,6.0,38.98,1000.0,4.0,155.92,311.84,15.21,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/,
240,Сибстекло БО-П04,RU000A107209,1002.4,Средний,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107209/,
241,КарМани выпуск 2,RU000A1058U6,721.7,Средний,17.0,2024-04-21,1.0,9.48,700.0,12.0,113.76,9.48,15.76,https://www.tinkoff.ru/invest/bonds/RU000A1058U6/,
242,ИКС 5 ФИНАНС 003P-04,RU000A107WL0,1001.2,Высокий,119.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107WL0/,
243,Ритейл Бел Финанс 001P-01,RU000A101QF7,717.525,Высокий,14.0,2024-05-29,5.0,15.31,750.0,4.0,61.24,45.93,8.53,https://www.tinkoff.ru/invest/bonds/RU000A101QF7/,
244,Группа Продовольствие 001P-02,RU000A105EP3,964.2,Средний,19.0,2024-04-03,8.0,10.7,1000.0,12.0,128.4,10.7,13.32,https://www.tinkoff.ru/invest/bonds/RU000A105EP3/,
245,Банк ВТБ (ПАО) Б-1-351,RU000A107W55,1000.9,Высокий,35.0,2024-04-01,10.0,11.31,1000.0,12.0,135.72,22.62,13.56,https://www.tinkoff.ru/invest/bonds/RU000A107W55/,
246,Автодом выпуск 1,RU000A104CJ3,971.0,Средний,9.0,2024-03-27,29.0,26.54,1000.0,4.0,106.16,53.08,10.93,https://www.tinkoff.ru/invest/bonds/RU000A104CJ3/,
247,Интерлизинг выпуск 6,RU000A106SF2,955.4,Высокий,28.0,2024-05-27,10.0,29.23,1000.0,4.0,116.92,204.61,12.24,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/,
248,Лизинг-Трейд 001P-10,RU000A107480,1010.0,Низкий,54.0,2024-04-20,2.0,14.27,1000.0,12.0,171.24,57.08,16.95,https://www.tinkoff.ru/invest/bonds/RU000A107480/,
249,МСБ-Лизинг 002P выпуск 5,RU000A103VD8,823.98659,Средний,29.0,2024-04-01,6.0,7.48,861.1,12.0,89.76,14.96,10.89,https://www.tinkoff.ru/invest/bonds/RU000A103VD8/,
250,Аренза-Про 001P-01,RU000A105TR7,982.9,Средний,21.0,2024-04-04,8.0,10.35,1000.0,12.0,124.2,10.35,12.64,https://www.tinkoff.ru/invest/bonds/RU000A105TR7/,
251,ГТЛК выпуск 15,RU000A100Z91,366.76,Средний,18.0,2024-04-23,5.0,6.61,400.0,4.0,26.44,26.44,7.21,https://www.tinkoff.ru/invest/bonds/RU000A100Z91/,
252,Инкаб выпуск 1,RU000A1049M2,979.2,Средний,9.0,2024-03-27,32.0,29.23,1000.0,4.0,116.92,58.46,11.94,https://www.tinkoff.ru/invest/bonds/RU000A1049M2/,
253,АБЗ-1 001Р-05,RU000A1070X5,970.0,Средний,30.0,2024-04-13,4.0,11.4,1000.0,12.0,136.8,22.8,14.1,https://www.tinkoff.ru/invest/bonds/RU000A1070X5/,
254,ГТЛК выпуск 10,RU000A0ZZ984,967.9,Высокий,109.0,2024-05-31,8.0,28.88,1000.0,4.0,115.52,779.76,11.94,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ984/,
255,Брусника выпуск 2,RU000A102Y58,998.7,Средний,0.0,2024-04-01,22.0,20.79,1000.0,4.0,83.16,0.0,8.33,https://www.tinkoff.ru/invest/bonds/RU000A102Y58/,
256,Аэрофьюэлз выпуск 2,RU000A103SZ7,969.3,Средний,6.0,2024-03-28,23.0,21.4,1000.0,4.0,85.6,21.4,8.83,https://www.tinkoff.ru/invest/bonds/RU000A103SZ7/,
257,Охта Групп БО-П03,RU000A1070A3,984.0,Низкий,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/,
258,ГК Пионер-001P выпуск 6,RU000A104735,945.8,Средний,20.0,2024-06-06,5.0,25.4,1000.0,4.0,101.6,127.0,10.74,https://www.tinkoff.ru/invest/bonds/RU000A104735/,
259,Сбербанк 002СУБ-03R,RU000A103Q24,8130000.0,Средний,91.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103Q24/,
260,АФК Система выпуск 12,RU000A101012,951.6,Высокий,66.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101012/,
261,Элит Строй 1P-01,RU000A105YF2,974.0,Средний,23.0,2024-04-09,6.0,10.35,1000.0,12.0,124.2,10.35,12.75,https://www.tinkoff.ru/invest/bonds/RU000A105YF2/,
262,ГТЛК 001P-20,RU000A1038M5,980.5,Средний,146.0,2024-06-12,2.0,16.96,1000.0,4.0,67.84,610.56,6.92,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/,
263,Банк ВТБ (ПАО) Б-1-346,RU000A107B35,998.8,Высокий,32.0,2024-04-01,10.0,11.74,1000.0,12.0,140.88,23.48,14.1,https://www.tinkoff.ru/invest/bonds/RU000A107B35/,
264,ФЭС-Агро выпуск 1,RU000A106P63,956.1,Средний,28.0,2024-05-09,17.0,29.58,1000.0,4.0,118.32,207.06,12.38,https://www.tinkoff.ru/invest/bonds/RU000A106P63/,
265,ВИС Финанс выпуск 3,RU000A1060Y4,943.4,Высокий,24.0,2024-06-18,2.0,27.93,1000.0,4.0,111.72,167.58,11.84,https://www.tinkoff.ru/invest/bonds/RU000A1060Y4/,
